Rk,Squad,Country,LgRk,MP,W,D,L,GF,GA,GDiff,Pts,Pts/G,xG,xGA,xGDiff,xGDiff/90,Attendance,Top Team Scorer,Goalkeeper
1,Liverpool,eng ENG,1,38,32,3,3,85,33,52,99,2.61,71.5,40,31.5,0.83,41955,Mohamed Salah - 19,Alisson
2,Paris S-G,fr FRA,1,27,22,2,3,75,24,51,68,2.52,71.1,22.6,48.4,1.79,47517,Kylian Mbappé - 18,Keylor Navas
3,Bayern Munich,de GER,1,34,26,4,4,100,32,68,82,2.41,82.3,34.4,48,1.41,57353,Robert Lewandowski - 34,Manuel Neuer
4,Real Madrid,es ESP,1,38,26,9,3,70,25,45,87,2.29,63.6,28.4,35.2,0.93,45833,Karim Benzema - 21,Thibaut Courtois
5,Juventus,it ITA,1,38,26,5,7,76,43,33,83,2.18,68.9,41.8,27,0.71,25102,Cristiano Ronaldo - 31,Wojciech Szcz?sny
6,Barcelona,es ESP,2,38,25,7,6,86,38,48,82,2.16,66.4,36,30.4,0.8,54223,Lionel Messi - 25,Marc-André ter Stegen
7,Inter,it ITA,2,38,24,10,4,81,36,45,82,2.16,72.2,40.7,31.5,0.83,41558,Romelu Lukaku - 23,Samir Handanovi?
8,Manchester City,eng ENG,2,38,26,3,9,102,35,67,81,2.13,93,34.7,58.3,1.53,37097,Raheem Sterling - 20,Ederson
9,Atalanta,it ITA,3,38,23,9,6,98,48,50,78,2.05,81.9,41.3,40.6,1.07,11167,Luis Muriel Duván Zapata - 18,Pierluigi Gollini
10,Lazio,it ITA,4,38,24,6,8,79,42,37,78,2.05,68,49.6,18.4,0.49,26363,Ciro Immobile - 36,Thomas Strakosha
11,Dortmund,de GER,2,34,21,6,7,84,41,43,69,2.03,59.2,39.4,19.7,0.58,57297,Jadon Sancho - 17,Roman Bürki
12,Marseille,fr FRA,2,28,16,8,4,41,29,12,56,2,34.2,30.5,3.6,0.13,52805,Darío Benedetto - 11,Steve Mandanda
13,RB Leipzig,de GER,3,34,18,12,4,81,37,44,66,1.94,70.8,36.4,34.4,1.01,28819,Timo Werner - 28,Péter Gulácsi
14,M'Gladbach,de GER,4,34,20,5,9,66,40,26,65,1.91,66.2,42.4,23.8,0.7,36078,Marcus Thuram Alassane Pléa - 10,Yann Sommer
15,Leverkusen,de GER,5,34,19,6,9,61,44,17,63,1.85,56.6,45.1,11.5,0.34,21236,Kai Havertz - 12,Lukáš Hrádecký
16,Atlético Madrid,es ESP,3,38,18,16,4,51,27,24,70,1.84,52.6,30.8,21.8,0.57,42236,Álvaro Morata - 12,Jan Oblak
17,Sevilla,es ESP,4,38,19,13,6,54,34,20,70,1.84,47.1,33.6,13.5,0.36,25016,Lucas Ocampos - 14,Tomáš Vaclík
18,Roma,it ITA,5,38,21,7,10,77,51,26,70,1.84,72.6,48.3,24.3,0.64,26956,Edin Džeko - 16,Pau López
19,Rennes,fr FRA,3,28,15,5,8,38,24,14,50,1.79,36.5,29.2,7.2,0.26,25893,M'Baye Niang - 10,Edouard Mendy
20,Lille,fr FRA,4,28,15,4,9,35,27,8,49,1.75,39.6,29.6,10,0.36,36404,Victor Osimhen - 13,Mike Maignan
21,Manchester Utd,eng ENG,3,38,18,12,8,66,36,30,66,1.74,59.4,37.4,22,0.58,57415,Marcus Rashford Anthony Martial - 17,David de Gea
22,Chelsea,eng ENG,4,38,20,6,12,69,54,15,66,1.74,66.6,37.9,28.6,0.75,32023,Tammy Abraham - 15,Kepa Arrizabalaga
23,Milan,it ITA,6,38,19,9,10,63,46,17,66,1.74,60.3,47.7,12.5,0.33,34078,Ante Rebi? - 11,Gianluigi Donnarumma
24,Leicester City,eng ENG,5,38,18,8,12,67,41,26,62,1.63,61.6,44.5,17.1,0.45,25312,Jamie Vardy - 23,Kasper Schmeichel
