club_name,revenue,purchases,profit/loss,LgRk_2016,MP_2016,W_2016,D_2016,L_2016,GF_2016,GA_2016,GDiff_2016,Pts_2016,LgRk_2017,MP_2017,W_2017,D_2017,L_2017,GF_2017,GA_2017,GDiff_2017,Pts_2017,LgRk_2018,MP_2018,W_2018,D_2018,L_2018,GF_2018,GA_2018,GDiff_2018,Pts_2018,xG_x,xGA_x,xGDiff_x,xGDiff/90_x,LgRk_2019,MP_2019,W_2019,D_2019,L_2019,GF_2019,GA_2019,GDiff_2019,Pts_2019,xG_y,xGA_y,xGDiff_y,xGDiff/90_y,LgRk_2020,MP_2020,W_2020,D_2020,L_2020,GF_2020,GA_2020,GDiff_2020,Pts_2020,xG,xGA,xGDiff,xGDiff/90,W_Total,L_Total,LgRk_Avg,Pts_Total
Dijon,54.68,32.04,22.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,38.0,8.0,13.0,17.0,46.0,58.0,-12.0,37.0,11.0,38.0,13.0,9.0,16.0,55.0,73.0,-18.0,48.0,42.9,69.1,-26.3,-0.69,18.0,38.0,9.0,7.0,22.0,31.0,60.0,-29.0,34.0,39.6,60.9,-21.3,-0.56,16.0,28.0,7.0,9.0,12.0,27.0,37.0,-10.0,30.0,28.8,43.0,-14.2,-0.51,37.0,67.0,12.2,149.0
Toulouse,64.31,42.8,21.51,17.0,38.0,9.0,13.0,16.0,45.0,55.0,-10.0,40.0,13.0,38.0,10.0,14.0,14.0,37.0,41.0,-4.0,44.0,18.0,38.0,9.0,10.0,19.0,38.0,54.0,-16.0,37.0,46.0,53.1,-7.2,-0.19,16.0,38.0,8.0,14.0,16.0,35.0,57.0,-22.0,38.0,43.7,58.3,-14.6,-0.38,20.0,28.0,3.0,4.0,21.0,22.0,58.0,-36.0,13.0,30.2,44.2,-14.0,-0.5,39.0,86.0,16.8,172.0
Celta Vigo,97.29,77.04,20.25,6.0,38.0,17.0,9.0,12.0,51.0,59.0,-8.0,60.0,13.0,38.0,13.0,6.0,19.0,53.0,69.0,-16.0,45.0,13.0,38.0,13.0,10.0,15.0,59.0,60.0,-1.0,49.0,52.0,51.6,0.4,0.01,17.0,38.0,10.0,11.0,17.0,53.0,62.0,-9.0,41.0,44.9,59.8,-14.9,-0.39,17.0,38.0,7.0,16.0,15.0,37.0,49.0,-12.0,37.0,37.8,42.1,-4.4,-0.12,60.0,78.0,13.2,232.0
Palermo,25.16,5.56,19.6,16.0,38.0,10.0,9.0,19.0,38.0,65.0,-27.0,39.0,19.0,38.0,6.0,8.0,24.0,33.0,77.0,-44.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,43.0,7.0,65.0
Las Palmas,21.15,1.8,19.35,11.0,38.0,12.0,8.0,18.0,45.0,53.0,-8.0,44.0,14.0,38.0,10.0,9.0,19.0,53.0,74.0,-21.0,39.0,19.0,38.0,5.0,7.0,26.0,24.0,74.0,-50.0,22.0,38.0,65.2,-27.3,-0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,63.0,8.8,105.0
Leganés,54.9,35.64,19.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,38.0,8.0,11.0,19.0,36.0,55.0,-19.0,35.0,17.0,38.0,12.0,7.0,19.0,34.0,51.0,-17.0,43.0,40.0,46.7,-6.8,-0.18,13.0,38.0,11.0,12.0,15.0,37.0,43.0,-6.0,45.0,37.4,40.0,-2.6,-0.07,18.0,38.0,8.0,12.0,18.0,30.0,51.0,-21.0,36.0,37.2,39.0,-1.8,-0.05,39.0,71.0,13.0,159.0
Valencia,276.66,257.58,19.08,12.0,38.0,11.0,11.0,16.0,46.0,48.0,-2.0,44.0,12.0,38.0,13.0,7.0,18.0,56.0,65.0,-9.0,46.0,4.0,38.0,22.0,7.0,9.0,65.0,38.0,27.0,73.0,56.0,44.8,11.2,0.29,4.0,38.0,15.0,16.0,7.0,51.0,35.0,16.0,61.0,57.2,40.5,16.7,0.44,9.0,38.0,14.0,11.0,13.0,46.0,53.0,-7.0,53.0,40.3,52.3,-11.9,-0.31,75.0,63.0,8.2,277.0
Nantes,60.48,44.19,16.29,14.0,38.0,12.0,12.0,14.0,33.0,44.0,-11.0,48.0,7.0,38.0,14.0,9.0,15.0,40.0,54.0,-14.0,51.0,9.0,38.0,14.0,10.0,14.0,36.0,41.0,-5.0,52.0,43.3,41.3,2.0,0.05,12.0,38.0,13.0,9.0,16.0,48.0,48.0,0.0,48.0,47.8,47.8,0.0,0.0,13.0,28.0,11.0,4.0,13.0,28.0,31.0,-3.0,37.0,27.8,33.5,-5.7,-0.2,64.0,72.0,11.0,236.0
Eint Frankfurt,132.84,118.44,14.4,16.0,34.0,9.0,9.0,16.0,34.0,52.0,-18.0,36.0,11.0,34.0,11.0,9.0,14.0,36.0,43.0,-7.0,42.0,8.0,34.0,14.0,7.0,13.0,45.0,45.0,0.0,49.0,43.4,42.1,1.2,0.04,7.0,34.0,15.0,9.0,10.0,60.0,48.0,12.0,54.0,55.4,50.5,4.9,0.15,9.0,34.0,13.0,6.0,15.0,59.0,60.0,-1.0,45.0,52.5,49.2,3.3,0.1,62.0,68.0,10.2,226.0
Chievo,32.58,18.23,14.35,9.0,38.0,13.0,11.0,14.0,43.0,45.0,-2.0,50.0,14.0,38.0,12.0,7.0,19.0,43.0,61.0,-18.0,43.0,13.0,38.0,10.0,10.0,18.0,36.0,59.0,-23.0,40.0,32.2,54.3,-22.1,-0.58,20.0,38.0,2.0,14.0,22.0,25.0,75.0,-50.0,17.0,35.9,59.4,-23.5,-0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,73.0,11.2,150.0
Metz,39.96,25.65,14.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,38.0,11.0,10.0,17.0,39.0,72.0,-33.0,43.0,20.0,38.0,6.0,8.0,24.0,34.0,76.0,-42.0,26.0,37.9,67.0,-29.1,-0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,28.0,8.0,10.0,10.0,27.0,35.0,-8.0,34.0,27.5,34.2,-6.7,-0.24,25.0,51.0,9.8,103.0
Villarreal,254.84,240.8,14.04,4.0,38.0,18.0,10.0,10.0,44.0,35.0,9.0,64.0,5.0,38.0,19.0,10.0,9.0,56.0,33.0,23.0,67.0,5.0,38.0,18.0,7.0,13.0,57.0,50.0,7.0,61.0,52.2,55.4,-3.2,-0.09,14.0,38.0,10.0,14.0,14.0,49.0,52.0,-3.0,44.0,50.7,53.4,-2.6,-0.07,5.0,38.0,18.0,6.0,14.0,63.0,49.0,14.0,60.0,57.0,44.6,12.4,0.33,83.0,60.0,6.6,296.0
Levante,57.97,44.01,13.96,20.0,38.0,8.0,8.0,22.0,37.0,70.0,-33.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,38.0,11.0,13.0,14.0,44.0,58.0,-14.0,46.0,42.4,60.6,-18.2,-0.48,15.0,38.0,11.0,11.0,16.0,59.0,66.0,-7.0,44.0,49.9,67.9,-18.0,-0.47,12.0,38.0,14.0,7.0,17.0,47.0,53.0,-6.0,49.0,42.0,60.7,-18.7,-0.49,44.0,69.0,12.4,171.0
Empoli,29.61,15.75,13.86,10.0,38.0,12.0,10.0,16.0,40.0,49.0,-9.0,46.0,18.0,38.0,8.0,8.0,22.0,29.0,61.0,-32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,38.0,10.0,8.0,20.0,51.0,70.0,-19.0,38.0,52.1,60.9,-8.8,-0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,58.0,9.2,116.0
