club_name,age,fee_cleaned,year,LgRk_2016,MP_2016,W_2016,D_2016,L_2016,GF_2016,GA_2016,GDiff_2016,Pts_2016,LgRk_2017,MP_2017,W_2017,D_2017,L_2017,GF_2017,GA_2017,GDiff_2017,Pts_2017,LgRk_2018,MP_2018,W_2018,D_2018,L_2018,GF_2018,GA_2018,GDiff_2018,Pts_2018,xG_x,xGA_x,xGDiff_x,xGDiff/90_x,LgRk_2019,MP_2019,W_2019,D_2019,L_2019,GF_2019,GA_2019,GDiff_2019,Pts_2019,xG_y,xGA_y,xGDiff_y,xGDiff/90_y,LgRk_2020,MP_2020,W_2020,D_2020,L_2020,GF_2020,GA_2020,GDiff_2020,Pts_2020,xG,xGA,xGDiff,xGDiff/90,W_Total,L_Total,LgRk_Avg,Pts_Total
Real Madrid,389,525.38,36327,2.0,38.0,28.0,6.0,4.0,110.0,34.0,76.0,90.0,1.0,38.0,29.0,6.0,3.0,106.0,41.0,65.0,93.0,3.0,38.0,22.0,10.0,6.0,94.0,44.0,50.0,76.0,83.3,45.4,37.9,1.0,3.0,38.0,21.0,5.0,12.0,63.0,46.0,17.0,68.0,61.4,45.6,15.7,0.41,1.0,38.0,26.0,9.0,3.0,70.0,25.0,45.0,87.0,63.6,28.4,35.2,0.93,126.0,28.0,2.0,414.0
Monaco,968,497.97,86776,3.0,38.0,17.0,14.0,7.0,57.0,50.0,7.0,65.0,1.0,38.0,30.0,5.0,3.0,107.0,31.0,76.0,95.0,2.0,38.0,24.0,8.0,6.0,85.0,45.0,40.0,80.0,61.5,47.0,14.5,0.38,17.0,38.0,8.0,12.0,18.0,38.0,57.0,-19.0,36.0,48.9,47.3,1.6,0.04,9.0,28.0,11.0,7.0,10.0,44.0,44.0,0.0,40.0,48.0,39.9,8.2,0.29,90.0,44.0,6.4,316.0
Liverpool,415,473.27,34302,8.0,38.0,16.0,12.0,10.0,63.0,50.0,13.0,60.0,4.0,38.0,22.0,10.0,6.0,78.0,42.0,36.0,76.0,4.0,38.0,21.0,12.0,5.0,84.0,38.0,46.0,75.0,70.4,33.3,37.1,0.98,2.0,38.0,30.0,7.0,1.0,89.0,22.0,67.0,97.0,73.5,30.1,43.4,1.14,1.0,38.0,32.0,3.0,3.0,85.0,33.0,52.0,99.0,71.5,40.0,31.5,0.83,121.0,25.0,3.8,407.0
Dortmund,683,462.1,60524,2.0,34.0,24.0,6.0,4.0,82.0,34.0,48.0,78.0,3.0,34.0,18.0,10.0,6.0,72.0,40.0,32.0,64.0,4.0,34.0,15.0,10.0,9.0,64.0,47.0,17.0,55.0,63.6,44.6,19.0,0.56,2.0,34.0,23.0,7.0,4.0,81.0,44.0,37.0,76.0,58.3,39.6,18.7,0.55,2.0,34.0,21.0,6.0,7.0,84.0,41.0,43.0,69.0,59.2,39.4,19.7,0.58,101.0,30.0,2.6,342.0
Roma,1065,460.05,86756,3.0,38.0,23.0,11.0,4.0,83.0,41.0,42.0,80.0,2.0,38.0,28.0,3.0,7.0,90.0,38.0,52.0,87.0,3.0,38.0,23.0,8.0,7.0,61.0,28.0,33.0,77.0,69.6,39.9,29.7,0.78,6.0,38.0,18.0,12.0,8.0,66.0,48.0,18.0,66.0,64.2,54.4,9.7,0.26,5.0,38.0,21.0,7.0,10.0,77.0,51.0,26.0,70.0,72.6,48.3,24.3,0.64,113.0,36.0,3.8,380.0
Milan,655,447.44,54487,7.0,38.0,15.0,12.0,11.0,49.0,43.0,6.0,57.0,6.0,38.0,18.0,9.0,11.0,57.0,45.0,12.0,63.0,6.0,38.0,18.0,10.0,10.0,56.0,42.0,14.0,64.0,54.4,39.0,15.4,0.41,5.0,38.0,19.0,11.0,8.0,55.0,36.0,19.0,68.0,48.3,40.3,8.0,0.21,6.0,38.0,19.0,9.0,10.0,63.0,46.0,17.0,66.0,60.3,47.7,12.5,0.33,89.0,50.0,6.0,318.0
Napoli,689,441.23,56502,2.0,38.0,25.0,7.0,6.0,80.0,32.0,48.0,82.0,3.0,38.0,26.0,8.0,4.0,94.0,39.0,55.0,86.0,2.0,38.0,28.0,7.0,3.0,77.0,29.0,48.0,91.0,66.6,25.5,41.1,1.08,2.0,38.0,24.0,7.0,7.0,74.0,36.0,38.0,79.0,68.3,34.2,34.1,0.9,7.0,38.0,18.0,8.0,12.0,61.0,50.0,11.0,62.0,62.5,39.3,23.2,0.61,121.0,32.0,3.2,400.0
Leicester City,620,441.18,52460,1.0,38.0,23.0,12.0,3.0,68.0,36.0,32.0,81.0,12.0,38.0,12.0,8.0,18.0,48.0,63.0,-15.0,44.0,9.0,38.0,12.0,11.0,15.0,56.0,60.0,-4.0,47.0,45.7,48.6,-2.8,-0.07,9.0,38.0,15.0,7.0,16.0,51.0,48.0,3.0,52.0,49.4,42.6,6.8,0.18,5.0,38.0,18.0,8.0,12.0,67.0,41.0,26.0,62.0,61.6,44.5,17.1,0.45,80.0,64.0,7.2,286.0
Sevilla,1125,432.77,88797,7.0,38.0,14.0,10.0,14.0,51.0,50.0,1.0,52.0,4.0,38.0,21.0,9.0,8.0,69.0,49.0,20.0,72.0,7.0,38.0,17.0,7.0,14.0,49.0,58.0,-9.0,58.0,56.5,55.3,1.3,0.03,6.0,38.0,17.0,8.0,13.0,62.0,47.0,15.0,59.0,63.5,44.1,19.4,0.51,4.0,38.0,19.0,13.0,6.0,54.0,34.0,20.0,70.0,47.1,33.6,13.5,0.36,88.0,55.0,5.6,311.0
Tottenham,397,384.57,34305,3.0,38.0,19.0,13.0,6.0,69.0,35.0,34.0,70.0,2.0,38.0,26.0,8.0,4.0,86.0,26.0,60.0,86.0,3.0,38.0,23.0,8.0,7.0,74.0,36.0,38.0,77.0,67.0,33.2,33.8,0.89,4.0,38.0,23.0,2.0,13.0,67.0,39.0,28.0,71.0,55.6,45.3,10.2,0.27,6.0,38.0,16.0,11.0,11.0,61.0,47.0,14.0,59.0,46.1,52.0,-6.0,-0.16,107.0,41.0,3.6,363.0
Bayern Munich,389,353.25,34311,1.0,34.0,28.0,4.0,2.0,80.0,17.0,63.0,88.0,1.0,34.0,25.0,7.0,2.0,89.0,22.0,67.0,82.0,1.0,34.0,27.0,3.0,4.0,92.0,28.0,64.0,84.0,77.8,33.7,44.1,1.3,1.0,34.0,24.0,6.0,4.0,88.0,32.0,56.0,78.0,81.0,25.9,55.2,1.62,1.0,34.0,26.0,4.0,4.0,100.0,32.0,68.0,82.0,82.3,34.4,48.0,1.41,130.0,16.0,1.0,414.0
West Ham,660,332.01,52464,7.0,38.0,16.0,14.0,8.0,65.0,51.0,14.0,62.0,11.0,38.0,12.0,9.0,17.0,47.0,64.0,-17.0,45.0,13.0,38.0,10.0,12.0,16.0,48.0,68.0,-20.0,42.0,37.3,57.8,-20.5,-0.54,10.0,38.0,15.0,7.0,16.0,52.0,55.0,-3.0,52.0,49.1,61.0,-11.9,-0.31,16.0,38.0,10.0,9.0,19.0,49.0,62.0,-13.0,39.0,46.2,61.1,-14.8,-0.39,63.0,76.0,11.4,240.0
RB Leipzig,501,277.01,48426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,34.0,20.0,7.0,7.0,66.0,39.0,27.0,67.0,6.0,34.0,15.0,8.0,11.0,57.0,53.0,4.0,53.0,54.3,45.7,8.6,0.25,3.0,34.0,19.0,9.0,6.0,63.0,29.0,34.0,66.0,61.0,35.0,26.0,0.76,3.0,34.0,18.0,12.0,4.0,81.0,37.0,44.0,66.0,70.8,36.4,34.4,1.01,72.0,28.0,2.8,252.0
Southampton,459,272.08,40357,6.0,38.0,18.0,9.0,11.0,59.0,41.0,18.0,63.0,8.0,38.0,12.0,10.0,16.0,41.0,48.0,-7.0,46.0,17.0,38.0,7.0,15.0,16.0,37.0,56.0,-19.0,36.0,40.1,45.7,-5.5,-0.15,16.0,38.0,9.0,12.0,17.0,45.0,65.0,-20.0,39.0,45.4,54.9,-9.5,-0.25,11.0,38.0,15.0,7.0,16.0,51.0,60.0,-9.0,52.0,53.9,53.1,0.9,0.02,61.0,76.0,11.6,236.0
Lyon,598,260.6,54486,2.0,38.0,19.0,8.0,11.0,67.0,43.0,24.0,65.0,4.0,38.0,21.0,4.0,13.0,77.0,48.0,29.0,67.0,3.0,38.0,23.0,9.0,6.0,87.0,43.0,44.0,78.0,66.9,39.7,27.2,0.72,3.0,38.0,21.0,9.0,8.0,70.0,47.0,23.0,72.0,73.7,42.6,31.1,0.82,7.0,28.0,11.0,7.0,10.0,42.0,27.0,15.0,40.0,37.2,26.0,11.2,0.4,95.0,48.0,3.8,322.0
Valencia,584,257.58,46409,12.0,38.0,11.0,11.0,16.0,46.0,48.0,-2.0,44.0,12.0,38.0,13.0,7.0,18.0,56.0,65.0,-9.0,46.0,4.0,38.0,22.0,7.0,9.0,65.0,38.0,27.0,73.0,56.0,44.8,11.2,0.29,4.0,38.0,15.0,16.0,7.0,51.0,35.0,16.0,61.0,57.2,40.5,16.7,0.44,9.0,38.0,14.0,11.0,13.0,46.0,53.0,-7.0,53.0,40.3,52.3,-11.9,-0.31,75.0,63.0,8.2,277.0
Brighton,802,243.99,70641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,38.0,9.0,13.0,16.0,34.0,54.0,-20.0,40.0,36.3,49.7,-13.4,-0.35,17.0,38.0,9.0,9.0,20.0,35.0,60.0,-25.0,36.0,34.4,56.4,-22.0,-0.58,15.0,38.0,9.0,14.0,15.0,39.0,54.0,-15.0,41.0,41.2,54.5,-13.3,-0.35,27.0,51.0,9.4,117.0
Leverkusen,406,242.55,36322,3.0,34.0,18.0,6.0,10.0,56.0,40.0,16.0,60.0,12.0,34.0,11.0,8.0,15.0,53.0,55.0,-2.0,41.0,5.0,34.0,15.0,10.0,9.0,58.0,44.0,14.0,55.0,59.1,37.0,22.2,0.65,4.0,34.0,18.0,4.0,12.0,69.0,52.0,17.0,58.0,62.1,43.6,18.5,0.54,5.0,34.0,19.0,6.0,9.0,61.0,44.0,17.0,63.0,56.6,45.1,11.5,0.34,81.0,55.0,5.8,277.0
Villarreal,746,240.8,58516,4.0,38.0,18.0,10.0,10.0,44.0,35.0,9.0,64.0,5.0,38.0,19.0,10.0,9.0,56.0,33.0,23.0,67.0,5.0,38.0,18.0,7.0,13.0,57.0,50.0,7.0,61.0,52.2,55.4,-3.2,-0.09,14.0,38.0,10.0,14.0,14.0,49.0,52.0,-3.0,44.0,50.7,53.4,-2.6,-0.07,5.0,38.0,18.0,6.0,14.0,63.0,49.0,14.0,60.0,57.0,44.6,12.4,0.33,83.0,60.0,6.6,296.0
