Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,eng Premier League,26,1990,28,25,2184,5,1,0,0,7,0,0.21,0.04,0.25,0.21,0.25,3.1,3.1,1.5,0.13,0.06,0.19,0.13,0.19,Matches
2,Rolando Aarons\Rolando-Aarons,eng ENG,MFFW,Hellas Verona,it Serie A,21,1995,11,6,517,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.04,0.04,0.08,0.04,0.08,Matches
3,Rolando Aarons\Rolando-Aarons,eng ENG,FWMF,Newcastle Utd,eng Premier League,21,1995,4,1,139,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.1,0,0.1,0.1,0.1,Matches
4,Ignazio Abate\Ignazio-Abate,it ITA,DF,Milan,it Serie A,30,1986,17,11,1057,1,0,0,0,3,0,0.09,0,0.09,0.09,0.09,0.2,0.2,0.6,0.02,0.05,0.07,0.02,0.07,Matches
5,Aymen Abdennour\Aymen-Abdennour,tn TUN,DF,Marseille,fr Ligue 1,27,1989,8,6,500,0,0,0,0,3,0,0,0,0,0,0,0.1,0.1,0,0.02,0,0.02,0.02,0.02,Matches
6,Aly Abeid\Aly-Abeid,mr MTN,DF,Levante,es La Liga,19,1997,1,1,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.19,0.19,0,0.19,Matches
7,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Dijon,fr Ligue 1,24,1992,19,14,1176,0,1,0,0,2,0,0,0.08,0.08,0,0.08,1,1,0.2,0.08,0.02,0.09,0.08,0.09,Matches
8,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,31,1986,27,27,2302,0,2,0,0,3,0,0,0.08,0.08,0,0.08,0.5,0.5,0.4,0.02,0.01,0.03,0.02,0.03,Matches
9,Tammy Abraham\Tammy-Abraham,eng ENG,FWMF,Swansea City,eng Premier League,19,1997,31,15,1726,5,1,0,0,0,0,0.26,0.05,0.31,0.26,0.31,6.3,6.3,0.7,0.33,0.04,0.37,0.33,0.37,Matches
10,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,de Bundesliga,27,1990,12,11,850,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0.5,0.02,0.06,0.08,0.02,0.08,Matches
