Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
11,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Sassuolo,it Serie A,29,1988,38,38,3420,0,0,0,0,4,0,0,0,0,0,0,1.5,1.5,0.8,0.04,0.02,0.06,0.04,0.06,Matches
12,Afriyie Acquah\Afriyie-Acquah,gh GHA,MF,Torino,it Serie A,25,1992,22,9,951,1,0,0,0,4,2,0.09,0,0.09,0.09,0.09,0.6,0.6,0.1,0.06,0.01,0.07,0.06,0.07,Matches
13,Charlie Adam\Charlie-Adam,sco SCO,MF,Stoke City,eng Premier League,31,1985,11,5,411,0,0,0,1,2,1,0,0,0,0,0,1.4,0.7,1.3,0.32,0.28,0.59,0.15,0.43,Matches
14,Antonio Adán\Antonio-Adan,es ESP,GK,Betis,es La Liga,30,1987,30,30,2700,0,0,0,0,4,0,0,0,0,0,0,0,0,0.4,0,0.01,0.01,0,0.01,Matches
15,Aday\Aday,es ESP,DFMF,Girona,es La Liga,29,1987,31,20,1840,2,0,1,2,10,0,0.1,0,0.1,0.05,0.05,2.6,1.1,1.8,0.13,0.09,0.21,0.05,0.14,Matches
16,Khaled Adénon\Khaled-Adenon,bj BEN,DF,Amiens,fr Ligue 1,32,1985,34,32,2921,0,1,0,0,9,0,0,0.03,0.03,0,0.03,0.5,0.5,0.3,0.02,0.01,0.03,0.02,0.03,Matches
17,Claud Adjapong\Claud-Adjapong,it ITA,DFMF,Sassuolo,it Serie A,19,1998,16,14,1220,0,0,0,0,5,1,0,0,0,0,0,0.6,0.6,0.7,0.05,0.05,0.1,0.05,0.1,Matches
18,René Adler\Rene-Adler,de GER,GK,Mainz 05,de Bundesliga,32,1985,14,14,1260,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.03,0.03,0,0.03,Matches
19,Ali Adnan Kadhim\Ali-Adnan-Kadhim,iq IRQ,DFMF,Udinese,it Serie A,23,1993,23,18,1674,0,1,0,0,4,0,0,0.05,0.05,0,0.05,0.4,0.4,1.7,0.02,0.09,0.12,0.02,0.12,Matches
20,Adrián\Adrian,es ESP,GK,West Ham,eng Premier League,30,1987,19,19,1710,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
21,Aritz Aduriz\Aritz-Aduriz,es ESP,FW,Athletic Club,es La Liga,36,1981,33,21,2155,9,3,3,5,5,0,0.38,0.13,0.5,0.25,0.38,10.6,7.1,1.1,0.44,0.04,0.49,0.3,0.34,Matches
22,Ibrahim Afellay\Ibrahim-Afellay,nl NED,MF,Stoke City,eng Premier League,31,1986,6,1,166,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
23,Benik Afobe\Benik-Afobe,cd COD,FWMF,Bournemouth,eng Premier League,24,1993,17,5,611,0,0,0,0,0,0,0,0,0,0,0,1.4,1.4,0.1,0.24,0.01,0.25,0.24,0.25,Matches
24,Martin Agirregabiria\Martin-Agirregabiria,es ESP,DF,Alavés,es La Liga,21,1996,21,20,1827,0,4,0,0,4,0,0,0.2,0.2,0,0.2,0,0,1.2,0,0.06,0.06,0,0.06,Matches
25,Imanol Agirretxe\Imanol-Agirretxe,es ESP,FW,Real Sociedad,es La Liga,30,1987,11,2,238,0,0,0,0,0,0,0,0,0,0,0,1.2,1.2,0.1,0.47,0.03,0.5,0.47,0.5,Matches
26,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,eng Premier League,29,1988,25,22,1963,21,6,4,4,2,0,0.96,0.28,1.24,0.78,1.05,16.6,13.6,5.9,0.76,0.27,1.03,0.62,0.89,Matches
27,Ruben Aguilar\Ruben-Aguilar,fr FRA,DFMF,Montpellier,fr Ligue 1,24,1993,31,27,2459,0,3,0,0,2,0,0,0.11,0.11,0,0.11,0.7,0.7,2.6,0.03,0.09,0.12,0.03,0.12,Matches
28,Matías Aguirregaray\Matias-Aguirregaray,uy URU,DF,Las Palmas,es La Liga,28,1989,15,14,1152,0,0,0,0,3,0,0,0,0,0,0,0.5,0.5,0.6,0.04,0.04,0.08,0.04,0.08,Matches
29,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,23,1994,35,35,3006,5,0,0,0,4,0,0.15,0,0.15,0.15,0.15,2.9,2.9,0.6,0.09,0.02,0.11,0.09,0.11,Matches
30,Ailton\Ailton,br BRA,DFFW,Stuttgart,de Bundesliga,22,1995,5,1,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.02,0.14,0.16,0.02,0.16,Matches
31,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,Caen,fr Ligue 1,21,1996,27,25,2048,0,0,0,0,4,0,0,0,0,0,0,0.7,0.7,1.1,0.03,0.05,0.08,0.03,0.08,Matches
32,Arlind Ajeti\Arlind-Ajeti,al ALB,DFMF,Crotone,it Serie A,23,1993,21,15,1271,0,1,0,0,7,0,0,0.07,0.07,0,0.07,0.7,0.7,1.1,0.05,0.08,0.13,0.05,0.13,Matches
33,Manuel Akanji\Manuel-Akanji,ch SUI,DF,Dortmund,de Bundesliga,22,1995,11,10,904,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0.1,0.02,0.01,0.03,0.02,0.03,Matches
34,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,eng Premier League,22,1995,38,37,3353,2,3,0,0,5,0,0.05,0.08,0.13,0.05,0.13,2.4,2.4,1.8,0.06,0.05,0.11,0.06,0.11,Matches
35,Ager Aketxe\Ager-Aketxe,es ESP,MF,Athletic Club,es La Liga,23,1993,3,0,41,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.23,0,0.23,0.23,0.23,Matches
36,Chadrac Akolo\Chadrac-Akolo,cd COD,FWMF,Stuttgart,de Bundesliga,22,1995,22,13,1102,5,0,0,1,2,0,0.41,0,0.41,0.41,0.41,4.7,4,1.7,0.39,0.14,0.53,0.33,0.47,Matches
37,Kevin Akpoguma\Kevin-Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,22,1995,22,17,1690,0,1,0,0,1,0,0,0.05,0.05,0,0.05,0.2,0.2,1.5,0.01,0.08,0.09,0.01,0.09,Matches
38,David Alaba\David-Alaba,at AUT,DF,Bayern Munich,de Bundesliga,25,1992,23,17,1551,2,2,0,0,1,0,0.12,0.12,0.23,0.12,0.23,1,1,2.2,0.06,0.13,0.18,0.06,0.18,Matches
39,Lucas Alario\Lucas-Alario,ar ARG,FW,Leverkusen,de Bundesliga,24,1992,23,17,1550,9,4,1,2,4,1,0.52,0.23,0.75,0.46,0.7,10.9,9.4,1.7,0.63,0.1,0.73,0.55,0.64,Matches
40,David Alba\David-Alba,es ESP,DF,Getafe,es La Liga,18,1999,1,1,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
41,Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,es La Liga,28,1989,33,30,2741,2,6,0,0,7,0,0.07,0.2,0.26,0.07,0.26,1.9,1.9,4.1,0.06,0.13,0.2,0.06,0.2,Matches
42,Raúl Albentosa\Raul-Albentosa,es ESP,DF,La Coruña,es La Liga,28,1988,20,19,1747,1,0,0,0,5,0,0.05,0,0.05,0.05,0.05,1.4,1.4,0.1,0.07,0,0.07,0.07,0.07,Matches
43,Luis Alberto\Luis-Alberto,es ESP,MFFW,Lazio,it Serie A,24,1992,34,32,2669,11,14,1,2,5,0,0.37,0.47,0.84,0.34,0.81,7.9,6.4,10.2,0.26,0.34,0.61,0.21,0.56,Matches
44,Raúl Albiol\Raul-Albiol,es ESP,DF,Napoli,it Serie A,31,1985,31,30,2742,3,1,0,0,7,0,0.1,0.03,0.13,0.1,0.13,1.8,1.8,1.2,0.06,0.04,0.1,0.06,0.1,Matches
45,Miiko Albornoz\Miiko-Albornoz,cl CHI,DF,Hannover 96,de Bundesliga,26,1990,10,7,703,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,1.2,0.03,0.15,0.18,0.03,0.18,Matches
46,Marc Albrighton\Marc-Albrighton,eng ENG,MFFW,Leicester City,eng Premier League,27,1989,34,30,2538,2,7,0,0,5,1,0.07,0.25,0.32,0.07,0.32,1.4,1.4,4.8,0.05,0.17,0.22,0.05,0.22,Matches
47,Paco Alcácer\Paco-Alcacer,es ESP,FWMF,Barcelona,es La Liga,23,1993,17,8,698,4,2,0,0,0,0,0.52,0.26,0.77,0.52,0.77,3,3,2.3,0.39,0.3,0.69,0.39,0.69,Matches
48,Pedro Alcalá\Pedro-Alcala,es ESP,DF,Girona,es La Liga,28,1989,8,8,688,1,0,0,0,4,0,0.13,0,0.13,0.13,0.13,0.8,0.8,0.2,0.1,0.03,0.13,0.1,0.13,Matches
49,Thiago Alcántara\Thiago-Alcantara,es ESP,MFFW,Bayern Munich,de Bundesliga,26,1991,19,12,1247,2,2,0,0,3,0,0.14,0.14,0.29,0.14,0.29,2.3,2.3,2.4,0.17,0.17,0.34,0.17,0.34,Matches
50,David Alcibiade\David-Alcibiade,fr FRA,DF,Nantes,fr Ligue 1,25,1991,3,2,208,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.03,0.08,0.1,0.03,0.1,Matches
51,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,eng Premier League,28,1989,14,13,1178,0,0,0,0,3,0,0,0,0,0,0,0.6,0.6,0.3,0.05,0.02,0.07,0.05,0.07,Matches
52,Steve Aldo One\Steve-Aldo-One,es ESP,DF,La Coruña,es La Liga,22,1995,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
53,Álex Alegría\Alex-Alegria,es ESP,FW,Levante,es La Liga,24,1992,9,8,625,0,1,0,0,1,0,0,0.14,0.14,0,0.14,0.9,0.9,0.2,0.13,0.03,0.15,0.13,0.15,Matches
54,Iván Alejo\Ivan-Alejo,es ESP,FWMF,Eibar,es La Liga,22,1995,22,14,1127,1,3,0,0,5,0,0.08,0.24,0.32,0.08,0.32,0.5,0.5,1.5,0.04,0.12,0.16,0.04,0.16,Matches
55,Alexander\Alexander,ar ARG,FWMF,Leganés,es La Liga,28,1988,13,13,1056,2,2,1,1,1,0,0.17,0.17,0.34,0.09,0.26,2.7,2,2.3,0.23,0.19,0.42,0.17,0.36,Matches
56,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,18,1998,19,18,1573,1,1,0,0,3,0,0.06,0.06,0.11,0.06,0.11,1,1,2.1,0.06,0.12,0.18,0.06,0.18,Matches
57,Alexis\Alexis,es ESP,DF,Alavés,es La Liga,31,1985,28,25,2183,1,0,0,0,6,0,0.04,0,0.04,0.04,0.04,0.9,0.9,0.1,0.04,0,0.04,0.04,0.04,Matches
58,Alisson\Alisson,br BRA,GK,Roma,it Serie A,24,1992,37,37,3330,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
59,Allan\Allan,br BRA,MF,Napoli,it Serie A,26,1991,38,32,2850,4,5,0,0,2,0,0.13,0.16,0.28,0.13,0.28,4.3,4.3,4.3,0.14,0.14,0.27,0.14,0.27,Matches
60,Joe Allen\Joe-Allen,wal WAL,MF,Stoke City,eng Premier League,27,1990,36,36,3139,2,6,0,0,8,0,0.06,0.17,0.23,0.06,0.23,2.4,2.4,2.6,0.07,0.07,0.14,0.07,0.14,Matches
61,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,eng Premier League,21,1996,36,34,2958,9,10,0,0,7,0,0.27,0.3,0.58,0.27,0.58,9.3,9.3,7.9,0.28,0.24,0.52,0.28,0.52,Matches
62,José Alonso Lara\Jose-Alonso-Lara,es ESP,FW,Sevilla,es La Liga,17,2000,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
63,Júnior Alonso\Junior-Alonso,py PAR,DF,Lille,fr Ligue 1,24,1993,34,30,2782,2,0,0,0,3,0,0.06,0,0.06,0.06,0.06,0.9,0.9,0.5,0.03,0.02,0.05,0.03,0.05,Matches
64,Marcos Alonso\Marcos-Alonso,es ESP,DFMF,Chelsea,eng Premier League,26,1990,33,33,2855,7,2,0,0,6,0,0.22,0.06,0.28,0.22,0.28,4.1,4.1,2.3,0.13,0.07,0.2,0.13,0.2,Matches
65,Ricky Álvarez\Ricky-Alvarez,ar ARG,MFFW,Sampdoria,it Serie A,29,1988,12,2,267,1,1,0,0,0,0,0.34,0.34,0.67,0.34,0.67,0.4,0.4,0.3,0.14,0.11,0.25,0.14,0.25,Matches
66,Sergio Álvarez\Sergio-Alvarez,es ESP,GK,Celta Vigo,es La Liga,30,1986,17,16,1479,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.01,0.01,0,0.01,Matches
67,Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,es La Liga,22,1995,8,7,675,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,Matches
68,Dani Alves\Dani-Alves,br BRA,DF,Paris S-G,fr Ligue 1,34,1983,25,23,2065,1,4,0,0,7,1,0.04,0.17,0.22,0.04,0.22,1.4,1.4,5.6,0.06,0.25,0.31,0.06,0.31,Matches
69,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,MFDF,Lille,fr Ligue 1,24,1993,30,30,2405,0,0,0,0,3,0,0,0,0,0,0,1.1,1.1,0.5,0.04,0.02,0.06,0.04,0.06,Matches
70,Eloi Amagat\Eloi-Amagat,es ESP,FWMF,Girona,es La Liga,32,1985,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,1.74,0,1.74,1.74,1.74,Matches
71,Morgan Amalfitano\Morgan-Amalfitano,fr FRA,MF,Rennes,fr Ligue 1,32,1985,14,10,747,0,0,0,0,2,3,0,0,0,0,0,1.1,1.1,0.5,0.13,0.06,0.19,0.13,0.19,Matches
72,Romain Amalfitano\Romain-Amalfitano,fr FRA,MF,Dijon,fr Ligue 1,27,1989,33,31,2703,0,1,0,0,5,0,0,0.03,0.03,0,0.03,0.4,0.4,2,0.01,0.07,0.08,0.01,0.08,Matches
73,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,eng Premier League,22,1994,8,6,487,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
74,Jordi Amat\Jordi-Amat,es ESP,DFMF,Betis,es La Liga,25,1992,25,24,2047,0,0,0,0,7,3,0,0,0,0,0,0.7,0.7,0.1,0.03,0,0.03,0.03,0.03,Matches
75,Amath\Amath,sn SEN,MFFW,Getafe,es La Liga,21,1996,37,36,2835,3,0,0,0,9,0,0.1,0,0.1,0.1,0.1,5.2,5.2,2,0.16,0.06,0.23,0.16,0.23,Matches
76,Jordan Amavi\Jordan-Amavi,fr FRA,DF,Marseille,fr Ligue 1,23,1994,27,24,2193,0,3,0,0,7,0,0,0.12,0.12,0,0.12,0.4,0.4,1.4,0.02,0.06,0.08,0.02,0.08,Matches
77,Stephan Ambrosius\Stephan-Ambrosius,de GER,DF,Hamburger SV,de Bundesliga,18,1998,1,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
78,Kelvin Amian\Kelvin-Amian,fr FRA,DF,Toulouse,fr Ligue 1,19,1998,36,35,3154,1,1,0,0,3,1,0.03,0.03,0.06,0.03,0.06,0.9,0.9,1,0.03,0.03,0.05,0.03,0.05,Matches
79,Nadiem Amiri\Nadiem-Amiri,de GER,MFFW,Hoffenheim,de Bundesliga,20,1996,28,19,1744,2,3,0,0,4,0,0.1,0.15,0.26,0.1,0.26,2.7,2.7,3.1,0.14,0.16,0.3,0.14,0.3,Matches
80,Ethan Ampadu\Ethan-Ampadu,wal WAL,DF,Chelsea,eng Premier League,16,2000,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
81,Nordin Amrabat\Nordin-Amrabat,ma MAR,FW,Watford,eng Premier League,30,1987,3,3,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.02,0.06,0.08,0.02,0.08,Matches
82,Nordin Amrabat\Nordin-Amrabat,ma MAR,FWMF,Leganés,es La Liga,30,1987,30,17,1622,2,1,0,0,6,2,0.11,0.06,0.17,0.11,0.17,3.2,3.2,3.1,0.18,0.17,0.35,0.18,0.35,Matches
83,Jon Ander Serantes\Jon-Ander-Serantes,es ESP,GK,Leganés,es La Liga,27,1989,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
84,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Sampdoria,it Serie A,21,1996,7,6,546,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.02,0,0.02,0.02,0.02,Matches
85,Felipe Anderson\Felipe-Anderson,br BRA,MFFW,Lazio,it Serie A,24,1993,21,9,1162,4,6,0,0,0,0,0.31,0.46,0.77,0.31,0.77,2.1,2.1,3.9,0.17,0.31,0.47,0.17,0.47,Matches
86,Florin Andone\Florin-Andone,ro ROU,FW,La Coruña,es La Liga,24,1993,29,16,1636,7,3,0,0,6,0,0.39,0.17,0.55,0.39,0.55,9.2,9.2,1,0.51,0.06,0.57,0.51,0.57,Matches
87,Nícolas Andrade\Nicolas-Andrade,br BRA,GK,Hellas Verona,it Serie A,29,1988,36,36,3240,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
88,Benjamin André\Benjamin-Andre,fr FRA,MF,Rennes,fr Ligue 1,26,1990,34,34,3012,3,2,0,0,11,2,0.09,0.06,0.15,0.09,0.15,3.7,3.7,1.7,0.11,0.05,0.16,0.11,0.16,Matches
89,Marco Andreolli\Marco-Andreolli,it ITA,DF,Cagliari,it Serie A,31,1986,23,20,1829,0,0,0,0,5,0,0,0,0,0,0,0.2,0.2,0,0.01,0,0.01,0.01,0.01,Matches
90,Yoann Andreu\Yoann-Andreu,fr FRA,DF,Angers,fr Ligue 1,28,1989,23,23,2070,1,2,0,0,4,0,0.04,0.09,0.13,0.04,0.13,0.2,0.2,1.8,0.01,0.08,0.09,0.01,0.09,Matches
91,Miguel Ángel Guerrero\Miguel-Angel-Guerrero,es ESP,FW,Leganés,es La Liga,27,1990,22,15,1445,4,3,0,1,3,0,0.25,0.19,0.44,0.25,0.44,5,4.2,1.7,0.31,0.11,0.42,0.26,0.37,Matches
92,Miguel Ángel Moyá\Miguel-Angel-Moya,es ESP,GK,Real Sociedad,es La Liga,33,1984,9,9,763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
93,Miguel Ángel Rubio\Miguel-Angel-Rubio,es ESP,DF,Getafe,es La Liga,19,1998,1,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
94,José Ángel\Jose-Angel,es ESP,DF,Eibar,es La Liga,27,1989,30,28,2423,0,7,0,0,4,0,0,0.26,0.26,0,0.26,0.5,0.5,3.3,0.02,0.12,0.14,0.02,0.14,Matches
95,Gabriele Angella\Gabriele-Angella,it ITA,DF,Udinese,it Serie A,28,1989,12,9,893,0,0,0,0,3,0,0,0,0,0,0,0.2,0.2,0,0.02,0,0.02,0.02,0.02,Matches
96,Cristian Ansaldi\Cristian-Ansaldi,ar ARG,DFMF,Torino,it Serie A,30,1986,25,20,1872,1,3,0,0,6,2,0.05,0.14,0.19,0.05,0.19,0.7,0.7,3.2,0.03,0.16,0.19,0.03,0.19,Matches
97,Luca Antei\Luca-Antei,it ITA,DF,Benevento,it Serie A,25,1992,8,8,592,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
98,Mirco Antenucci\Mirco-Antenucci,it ITA,FW,SPAL,it Serie A,32,1984,33,28,2571,11,4,5,5,1,0,0.39,0.14,0.53,0.21,0.35,8.7,4.9,2.1,0.3,0.07,0.38,0.17,0.24,Matches
99,Waldemar Anton\Waldemar-Anton,de GER,DFMF,Hannover 96,de Bundesliga,21,1996,27,26,2278,1,0,0,0,1,0,0.04,0,0.04,0.04,0.04,1.8,1.8,0,0.07,0,0.07,0.07,0.07,Matches
100,Luca Antonelli\Luca-Antonelli,it ITA,DFMF,Milan,it Serie A,30,1987,6,1,144,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0.02,Matches
101,Michail Antonio\Michail-Antonio,eng ENG,FWMF,West Ham,eng Premier League,27,1990,21,16,1354,3,1,0,0,1,0,0.2,0.07,0.27,0.2,0.27,2.4,2.4,0.6,0.16,0.04,0.19,0.16,0.19,Matches
102,Mirko Antonucci\Mirko-Antonucci,it ITA,FW,Roma,it Serie A,18,1999,2,0,31,0,1,0,0,0,0,0,2.9,2.9,0,2.9,0.5,0.5,0.2,1.61,0.76,2.37,1.61,2.37,Matches
103,Vitorino Antunes\Vitorino-Antunes,pt POR,DF,Getafe,es La Liga,30,1987,34,31,2801,0,2,0,1,14,0,0,0.06,0.06,0,0.06,1.7,0.9,1.9,0.05,0.06,0.11,0.03,0.09,Matches
104,Dennis Aogo\Dennis-Aogo,de GER,MFDF,Stuttgart,de Bundesliga,30,1987,29,22,1954,0,6,0,0,5,0,0,0.28,0.28,0,0.28,0.9,0.9,1.7,0.04,0.08,0.12,0.04,0.12,Matches
105,Houssem Aouar\Houssem-Aouar,fr FRA,MFFW,Lyon,fr Ligue 1,19,1998,32,27,2430,6,4,0,0,1,0,0.22,0.15,0.37,0.22,0.37,5.6,5.6,3.9,0.21,0.14,0.35,0.21,0.35,Matches
106,Alberto Aquilani\Alberto-Aquilani,it ITA,MF,Las Palmas,es La Liga,33,1984,21,15,1298,0,0,0,0,4,0,0,0,0,0,0,0.7,0.7,0.7,0.05,0.05,0.1,0.05,0.1,Matches
107,Mauro Arambarri\Mauro-Arambarri,uy URU,MF,Getafe,es La Liga,21,1995,27,26,2125,1,2,0,0,9,2,0.04,0.08,0.13,0.04,0.13,1.5,1.5,1.1,0.06,0.05,0.11,0.06,0.11,Matches
108,Guilherme Arana\Guilherme-Arana,br BRA,DF,Sevilla,es La Liga,20,1997,3,2,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.05,0.05,0,0.05,Matches
109,Charles Aránguiz\Charles-Aranguiz,cl CHI,MF,Leverkusen,de Bundesliga,28,1989,27,27,2302,1,3,0,0,4,0,0.04,0.12,0.16,0.04,0.16,2.9,2.9,1.7,0.11,0.06,0.18,0.11,0.18,Matches
110,Luiz Araújo\Luiz-Araujo,br BRA,FWMF,Lille,fr Ligue 1,21,1996,34,24,2017,5,2,0,0,5,0,0.22,0.09,0.31,0.22,0.31,3.8,3.8,2.3,0.17,0.1,0.27,0.17,0.27,Matches
111,Sergio Araujo\Sergio-Araujo,ar ARG,FWMF,Las Palmas,es La Liga,25,1992,2,0,40,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.34,0,0.34,0.34,0.34,Matches
112,Anaitz Arbilla\Anaitz-Arbilla,es ESP,DF,Eibar,es La Liga,30,1987,29,26,2416,2,1,0,0,8,0,0.07,0.04,0.11,0.07,0.11,0.8,0.8,0.5,0.03,0.02,0.05,0.03,0.05,Matches
113,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Paris S-G,fr Ligue 1,24,1993,34,34,3060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
114,Scott Arfield\Scott-Arfield,ca CAN,FWMF,Burnley,eng Premier League,28,1988,18,15,1333,2,1,0,0,3,0,0.14,0.07,0.2,0.14,0.2,1.2,1.2,0.5,0.08,0.03,0.11,0.08,0.11,Matches
115,Samuel Armenteros\Samuel-Armenteros,se SWE,FW,Benevento,it Serie A,27,1990,9,5,429,1,0,0,0,1,0,0.21,0,0.21,0.21,0.21,1.1,1.1,0,0.23,0,0.23,0.23,0.23,Matches
116,Yoël Armougom\Yoel-Armougom,fr FRA,MFDF,Caen,fr Ligue 1,19,1998,4,1,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0,0.03,Matches
117,José Arnaiz\Jose-Arnaiz,es ESP,MF,Barcelona,es La Liga,22,1995,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
118,Marko Arnautovi?\Marko-Arnautovic,at AUT,FWMF,West Ham,eng Premier League,28,1989,31,28,2313,11,6,0,0,5,1,0.43,0.23,0.66,0.43,0.66,10,10,4.4,0.39,0.17,0.56,0.39,0.56,Matches
119,Maximilian Arnold\Maximilian-Arnold,de GER,MF,Wolfsburg,de Bundesliga,23,1994,29,28,2454,2,0,0,1,9,1,0.07,0,0.07,0.07,0.07,2.2,1.4,3.8,0.08,0.14,0.22,0.05,0.19,Matches
120,Jann-Fiete Arp\Jann-Fiete-Arp,de GER,FW,Hamburger SV,de Bundesliga,17,2000,18,8,850,2,0,0,0,1,0,0.21,0,0.21,0.21,0.21,2.3,2.3,0.7,0.24,0.08,0.32,0.24,0.32,Matches
