Rk,Squad,Country,LgRk,MP,W,D,L,GF,GA,GDiff,Pts,Pts/G,Attendance,Top Team Scorer,Goalkeeper
61,Atalanta,it ITA,13,38,11,12,15,41,47,-6,45,1.18,15945,Papu Gómez - 7,Marco Sportiello
62,Betis,es ESP,10,38,11,12,15,34,52,-18,45,1.18,38070,Rubén Castro - 19,Antonio Adán
63,Guingamp,fr FRA,16,38,11,11,16,47,56,-9,44,1.16,14804,Sloan Privat Yannis Salibur... - 7,Jonas Lössl
64,Las Palmas,es ESP,11,38,12,8,18,45,53,-8,44,1.16,21304,Jonathan Viera - 10,Javi Varas
65,Valencia,es ESP,12,38,11,11,16,46,48,-2,44,1.16,37474,Paco Alcácer - 13,Jaume Doménech
66,West Brom,eng ENG,14,38,10,13,15,34,48,-14,43,1.13,24631,Salomón Rondón - 9,Boaz Myhill
67,Espanyol,es ESP,13,38,12,7,19,40,74,-34,43,1.13,20267,Felipe Caicedo - 8,Pau López
68,Eibar,es ESP,14,38,11,10,17,49,61,-12,43,1.13,5216,Borja Bastón - 18,Asier Riesgo
69,Augsburg,de GER,12,34,9,11,14,42,52,-10,38,1.12,29017,Koo Ja-cheol - 8,Marwin Hitz
70,Werder Bremen,de GER,13,34,10,8,16,50,65,-15,38,1.12,40935,Claudio Pizarro - 14,Felix Wiedwald
71,Darmstadt 98,de GER,14,34,9,11,14,38,53,-15,38,1.12,16647,Sandro Wagner - 14,Christian Mathenia
72,Crystal Palace,eng ENG,15,38,11,9,18,39,51,-12,42,1.11,24825,Yannick Bolasie Connor Wickham... - 5,Wayne Hennessey
73,Bournemouth,eng ENG,16,38,11,9,18,45,67,-22,42,1.11,11189,Joshua King - 6,Artur Boruc
74,Bologna,it ITA,14,38,11,9,18,33,45,-12,42,1.11,18899,Mattia Destro - 8,Antonio Mirante
75,La Coruña,es ESP,15,38,8,18,12,45,61,-16,42,1.11,23797,Lucas Pérez - 17,Germán Lux
76,Hoffenheim,de GER,15,34,9,10,15,39,54,-15,37,1.09,27615,Kevin Volland Mark Uth - 8,Oliver Baumann
77,Eint Frankfurt,de GER,16,34,9,9,16,34,52,-18,36,1.06,46676,Alexander Meier - 12,Lukáš Hrádecký
78,Toulouse,fr FRA,17,38,9,13,16,45,55,-10,40,1.05,16306,Wissam Ben Yedder - 17,Alban Lafont
79,Sampdoria,it ITA,15,38,10,10,18,48,61,-13,40,1.05,21974,Éder - 12,Emiliano Viviano
80,Sunderland,eng ENG,17,38,9,12,17,48,62,-14,39,1.03,43071,Jermain Defoe - 15,Vito Mannone
81,Reims,fr FRA,18,38,10,9,19,44,57,-13,39,1.03,13482,Nicolas de Préville - 6,Johny Placide
82,Palermo,it ITA,16,38,10,9,19,38,65,-27,39,1.03,17065,Alberto Gilardino - 10,Stefano Sorrentino
83,Udinese,it ITA,17,38,10,9,19,35,60,-25,39,1.03,16209,Cyril Théréau - 11,Orestis Karnezis
84,Granada,es ESP,16,38,10,9,19,46,69,-23,39,1.03,16414,Youssef El-Arabi - 16,Andrés Fernández
85,Sporting Gijón,es ESP,17,38,10,9,19,40,62,-22,39,1.03,23559,Antonio Sanabria - 11,Iván Cuéllar
86,Carpi,it ITA,18,38,9,11,18,37,57,-20,38,1,8968,Kevin Lasagna - 5,Vid Belec
87,Rayo Vallecano,es ESP,18,38,9,11,18,52,73,-21,38,1,11606,Javi Guerra - 12,Juan Carlos
88,Newcastle Utd,eng ENG,18,38,9,10,19,44,65,-21,37,0.97,49754,Georginio Wijnaldum - 11,Rob Elliot
