Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
16,Jordan Adéoti\Jordan-Adeoti,bj BEN,MFDF,Caen,fr Ligue 1,26,1989,32,16,1718,0,0,0,0,6,0,0,0,0,0,0,Matches
17,Claud Adjapong\Claud-Adjapong,it ITA,DFMF,Sassuolo,it Serie A,17,1998,2,0,20,0,0,0,0,0,0,0,0,0,0,0,Matches
18,René Adler\Rene-Adler,de GER,GK,Hamburger SV,de Bundesliga,30,1985,24,24,2071,0,1,0,0,3,1,0,0.04,0.04,0,0.04,Matches
19,Ali Adnan Kadhim\Ali-Adnan-Kadhim,iq IRQ,MFDF,Udinese,it Serie A,21,1993,28,21,1904,1,1,0,0,6,0,0.05,0.05,0.09,0.05,0.09,Matches
20,Adrián\Adrian,es ESP,GK,West Ham,eng Premier League,28,1987,32,32,2880,0,0,0,0,1,1,0,0,0,0,0,Matches
21,Adriano\Adriano,br BRA,DF,Barcelona,es La Liga,30,1984,8,4,433,0,1,0,0,0,0,0,0.21,0.21,0,0.21,Matches
22,Luiz Adriano\Luiz-Adriano,br BRA,FW,Milan,it Serie A,28,1987,26,12,1194,4,0,1,1,4,0,0.3,0,0.3,0.23,0.23,Matches
23,Adryan\Adryan,br BRA,MFFW,Nantes,fr Ligue 1,20,1994,26,19,1423,3,2,0,0,2,1,0.19,0.13,0.32,0.19,0.32,Matches
24,Aritz Aduriz\Aritz-Aduriz,es ESP,FW,Athletic Club,es La Liga,34,1981,34,30,2775,20,6,3,5,9,0,0.65,0.19,0.84,0.55,0.75,Matches
25,Ibrahim Afellay\Ibrahim-Afellay,nl NED,MF,Stoke City,eng Premier League,29,1986,31,24,2102,2,2,0,0,3,1,0.09,0.09,0.17,0.09,0.17,Matches
26,Benik Afobe\Benik-Afobe,cd COD,FW,Bournemouth,eng Premier League,22,1993,15,12,930,4,0,0,0,0,0,0.39,0,0.39,0.39,0.39,Matches
27,Kossi Agassa\Kossi-Agassa,tg TOG,GK,Reims,fr Ligue 1,37,1978,11,11,901,0,0,0,0,0,0,0,0,0,0,0,Matches
28,Gabby Agbonlahor\Gabby-Agbonlahor,eng ENG,FW,Aston Villa,eng Premier League,28,1986,15,13,1031,1,2,0,0,0,0,0.09,0.17,0.26,0.09,0.26,Matches
29,Imanol Agirretxe\Imanol-Agirretxe,es ESP,FW,Real Sociedad,es La Liga,28,1987,16,14,1166,13,0,0,0,0,0,1,0,1,1,1,Matches
30,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,eng Premier League,27,1988,30,29,2360,24,2,4,5,1,0,0.92,0.08,0.99,0.76,0.84,Matches
31,Rodrigo Aguirre\Rodrigo-Aguirre,uy URU,FW,Udinese,it Serie A,20,1994,10,3,340,0,1,0,0,1,0,0,0.26,0.26,0,0.26,Matches
32,Emmanuel Agyemang-Badu\Emmanuel-Agyemang-Badu,gh GHA,MF,Udinese,it Serie A,24,1990,33,30,2661,4,1,0,0,6,0,0.14,0.03,0.17,0.14,0.17,Matches
33,Ali Ahamada\Ali-Ahamada,km COM,GK,Toulouse,fr Ligue 1,23,1991,6,6,540,0,0,0,0,0,0,0,0,0,0,0,Matches
34,Stefan Aigner\Stefan-Aigner,de GER,MFFW,Eint Frankfurt,de Bundesliga,27,1987,31,27,2394,3,3,0,0,7,0,0.11,0.11,0.23,0.11,0.23,Matches
35,Rachid Aït-Atmane\Rachid-Ait-Atmane,dz ALG,MF,Sporting Gijón,es La Liga,22,1993,18,11,1058,0,2,0,0,2,0,0,0.17,0.17,0,0.17,Matches
36,Albian Ajeti\Albian-Ajeti,ch SUI,FW,Augsburg,de Bundesliga,18,1997,1,0,37,0,0,0,0,0,0,0,0,0,0,0,Matches
37,Arlind Ajeti\Arlind-Ajeti,al ALB,DF,Frosinone,it Serie A,21,1993,16,15,1218,1,0,0,0,5,1,0.07,0,0.07,0.07,0.07,Matches
38,Nathan Aké\Nathan-Ake,nl NED,DF,Watford,eng Premier League,20,1995,24,20,1875,1,0,0,0,4,1,0.05,0,0.05,0.05,0.05,Matches
39,Ager Aketxe\Ager-Aketxe,es ESP,MF,Athletic Club,es La Liga,21,1993,3,2,186,0,0,0,0,0,0,0,0,0,0,0,Matches
40,Jean-Daniel Akpa-Akpro\Jean-Daniel-Akpa-Akpro,ci CIV,MF,Toulouse,fr Ligue 1,22,1992,33,29,2555,1,4,0,0,12,0,0.04,0.14,0.18,0.04,0.18,Matches
41,David Alaba\David-Alaba,at AUT,DF,Bayern Munich,de Bundesliga,23,1992,30,27,2492,2,0,0,0,2,0,0.07,0,0.07,0.07,0.07,Matches
42,Fabrizio Alastra\Fabrizio-Alastra,it ITA,GK,Palermo,it Serie A,17,1997,2,1,144,0,0,0,0,0,0,0,0,0,0,0,Matches
43,Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,es La Liga,26,1989,31,29,2588,0,6,0,0,2,0,0,0.21,0.21,0,0.21,Matches
44,Raúl Albentosa\Raul-Albentosa,es ESP,DF,Málaga,es La Liga,26,1988,29,27,2557,2,0,0,0,11,0,0.07,0,0.07,0.07,0.07,Matches
45,Michelangelo Albertazzi\Michelangelo-Albertazzi,it ITA,DF,Hellas Verona,it Serie A,24,1991,10,9,702,0,0,0,0,4,0,0,0,0,0,0,Matches
46,Luis Alberto\Luis-Alberto,es ESP,MFFW,La Coruña,es La Liga,22,1992,29,25,2094,6,7,0,0,3,0,0.26,0.3,0.56,0.26,0.56,Matches
47,Raúl Albiol\Raul-Albiol,es ESP,DF,Napoli,it Serie A,29,1985,36,36,3240,1,1,0,0,10,0,0.03,0.03,0.06,0.03,0.06,Matches
48,Miiko Albornoz\Miiko-Albornoz,cl CHI,DF,Hannover 96,de Bundesliga,24,1990,23,23,2069,0,1,0,0,1,0,0,0.04,0.04,0,0.04,Matches
49,Marc Albrighton\Marc-Albrighton,eng ENG,MF,Leicester City,eng Premier League,25,1989,38,34,2749,2,6,0,0,4,0,0.07,0.2,0.26,0.07,0.26,Matches
50,Paco Alcácer\Paco-Alcacer,es ESP,FW,Valencia,es La Liga,21,1993,34,25,2422,13,6,2,3,2,0,0.48,0.22,0.71,0.41,0.63,Matches
51,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Bayern Munich,de Bundesliga,24,1991,27,16,1643,2,3,0,0,2,0,0.11,0.16,0.27,0.11,0.27,Matches
52,Antolín Alcaraz\Antolin-Alcaraz,py PAR,DF,Las Palmas,es La Liga,33,1982,6,6,540,1,0,0,0,2,0,0.17,0,0.17,0.17,0.17,Matches
53,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,eng Premier League,26,1989,38,38,3419,4,2,0,0,3,0,0.11,0.05,0.16,0.11,0.16,Matches
54,Alexis Alegue\Alexis-Alegue,fr FRA,MF,Nantes,fr Ligue 1,18,1996,3,1,97,1,0,0,0,0,0,0.93,0,0.93,0.93,0.93,Matches
55,Nauzet Alemán\Nauzet-Aleman,es ESP,MF,Las Palmas,es La Liga,30,1985,10,2,254,0,0,0,0,0,0,0,0,0,0,0,Matches
56,Diego Alende\Diego-Alende,es ESP,DF,Celta Vigo,es La Liga,17,1997,1,0,41,0,0,0,0,0,0,0,0,0,0,0,Matches
57,Romain Alessandrini\Romain-Alessandrini,fr FRA,MFFW,Marseille,fr Ligue 1,26,1989,22,16,1246,5,4,0,0,1,2,0.36,0.29,0.65,0.36,0.65,Matches
58,Alex\Alex,br BRA,DF,Milan,it Serie A,33,1982,25,24,2091,3,1,0,0,5,0,0.13,0.04,0.17,0.13,0.17,Matches
59,Alexis\Alexis,es ESP,DF,Getafe,es La Liga,29,1985,15,15,1350,1,0,0,0,7,0,0.07,0,0.07,0.07,0.07,Matches
60,Chaker Alhadhur\Chaker-Alhadhur,km COM,DF,Caen,fr Ligue 1,23,1991,10,8,787,0,0,0,0,2,0,0,0,0,0,0,Matches
61,Allan\Allan,br BRA,MF,Napoli,it Serie A,24,1991,35,32,2818,3,5,0,0,5,0,0.1,0.16,0.26,0.1,0.26,Matches
62,Joe Allen\Joe-Allen,wal WAL,MF,Liverpool,eng Premier League,25,1990,19,8,735,2,1,0,0,0,0,0.24,0.12,0.37,0.24,0.37,Matches
63,Dele Alli\Dele-Alli,eng ENG,MF,Tottenham,eng Premier League,19,1996,33,28,2470,10,9,0,0,7,0,0.36,0.33,0.69,0.36,0.69,Matches
64,Ryan Allsop\Ryan-Allsop,eng ENG,GK,Bournemouth,eng Premier League,23,1992,1,0,45,0,0,0,0,0,0,0,0,0,0,0,Matches
65,Hugo Almeida\Hugo-Almeida,pt POR,FW,Hannover 96,de Bundesliga,31,1984,7,5,530,1,0,0,0,1,0,0.17,0,0.17,0.17,0.17,Matches
66,Marcos Alonso\Marcos-Alonso,es ESP,MFDF,Fiorentina,it Serie A,24,1990,31,26,2347,3,4,0,0,8,0,0.12,0.15,0.27,0.12,0.27,Matches
67,Xabi Alonso\Xabi-Alonso,es ESP,MFDF,Bayern Munich,de Bundesliga,33,1981,26,23,1945,0,2,0,0,6,1,0,0.09,0.09,0,0.09,Matches
68,Batuhan Altıntaş\Batuhan-Altintas,tr TUR,FW,Hamburger SV,de Bundesliga,19,1996,1,0,27,0,0,0,0,1,0,0,0,0,0,0,Matches
69,Halil Altıntop\Halil-Altintop,tr TUR,MF,Augsburg,de Bundesliga,32,1982,19,15,1200,1,2,0,0,1,0,0.07,0.15,0.23,0.07,0.23,Matches
70,Ricky Álvarez\Ricky-Alvarez,ar ARG,MFFW,Sampdoria,it Serie A,27,1988,13,9,806,1,1,0,0,2,0,0.11,0.11,0.22,0.11,0.22,Matches
71,Sergio Álvarez\Sergio-Alvarez,es ESP,GK,Celta Vigo,es La Liga,28,1986,31,30,2727,0,0,0,0,1,0,0,0,0,0,0,Matches
72,Sergio Álvarez\Sergio-Alvarez,es ESP,MF,Sporting Gijón,es La Liga,23,1992,27,26,2190,2,2,0,0,8,1,0.08,0.08,0.16,0.08,0.16,Matches
73,Víctor Álvarez\Victor-Alvarez,es ESP,MFDF,Espanyol,es La Liga,22,1993,27,25,1950,1,2,0,0,6,0,0.05,0.09,0.14,0.05,0.14,Matches
74,Dani Alves\Dani-Alves,br BRA,DF,Barcelona,es La Liga,32,1983,29,24,2143,0,4,0,0,6,0,0,0.17,0.17,0,0.17,Matches
75,Diego Alves\Diego-Alves,br BRA,GK,Valencia,es La Liga,30,1985,13,13,1170,0,0,0,0,1,0,0,0,0,0,0,Matches
76,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,MFDF,Lille,fr Ligue 1,22,1993,22,18,1668,1,0,0,0,2,0,0.05,0,0.05,0.05,0.05,Matches
77,Morgan Amalfitano\Morgan-Amalfitano,fr FRA,FWMF,Lille,fr Ligue 1,30,1985,15,10,957,2,0,0,0,2,0,0.19,0,0.19,0.19,0.19,Matches
78,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,eng Premier League,20,1994,5,1,104,0,0,0,0,0,0,0,0,0,0,0,Matches
79,Jordi Amat\Jordi-Amat,es ESP,DF,Swansea City,eng Premier League,23,1992,8,5,463,0,0,0,0,0,0,0,0,0,0,0,Matches
80,Amauri\Amauri,it ITA,FW,Torino,it Serie A,35,1980,1,0,9,0,0,0,0,0,0,0,0,0,0,0,Matches
81,Jordan Amavi\Jordan-Amavi,fr FRA,DF,Aston Villa,eng Premier League,21,1994,10,9,837,0,2,0,0,2,0,0,0.22,0.22,0,0.22,Matches
82,Antonio Amaya\Antonio-Amaya,es ESP,DF,Rayo Vallecano,es La Liga,32,1983,17,10,1040,1,0,0,0,5,1,0.09,0,0.09,0.09,0.09,Matches
83,Jean Ambrose\Jean-Ambrose,ht HAI,DF,Bordeaux,fr Ligue 1,21,1993,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
84,Nadiem Amiri\Nadiem-Amiri,de GER,MFFW,Hoffenheim,de Bundesliga,18,1996,25,16,1460,4,4,0,0,4,0,0.25,0.25,0.49,0.25,0.49,Matches
85,Nordin Amrabat\Nordin-Amrabat,ma MAR,MFFW,Málaga,es La Liga,28,1987,13,13,996,0,0,0,1,5,1,0,0,0,0,0,Matches
86,Nordin Amrabat\Nordin-Amrabat,ma MAR,MFFW,Watford,eng Premier League,28,1987,12,4,506,0,0,0,0,3,1,0,0,0,0,0,Matches
87,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,Lazio,it Serie A,22,1993,35,21,2071,7,4,0,0,2,0,0.3,0.17,0.48,0.3,0.48,Matches
88,Benjamin André\Benjamin-Andre,fr FRA,MF,Rennes,fr Ligue 1,24,1990,32,30,2632,0,0,0,0,3,0,0,0,0,0,0,Matches
89,Leon Andreasen\Leon-Andreasen,dk DEN,MF,Hannover 96,de Bundesliga,32,1983,15,13,1080,2,1,0,0,4,0,0.17,0.08,0.25,0.17,0.25,Matches
90,Ionuț Andrei Radu\Ionut-Andrei-Radu,ro ROU,GK,Inter,it Serie A,,,1,0,19,0,0,0,0,0,0,0,0,0,0,0,Matches
91,Marco Andreolli\Marco-Andreolli,it ITA,DF,Sevilla,es La Liga,29,1986,7,7,551,0,0,0,0,2,0,0,0,0,0,0,Matches
92,Yoann Andreu\Yoann-Andreu,fr FRA,DF,Angers,fr Ligue 1,26,1989,31,31,2722,0,1,0,0,7,0,0,0.03,0.03,0,0.03,Matches
93,José Ángel Crespo\Jose-Angel-Crespo,es ESP,FW,Aston Villa,eng Premier League,28,1987,1,1,90,0,0,0,0,0,0,0,0,0,0,0,Matches
94,José Ángel Crespo\Jose-Angel-Crespo,es ESP,DF,Rayo Vallecano,es La Liga,28,1987,9,9,712,0,0,0,0,4,0,0,0,0,0,0,Matches
95,Miguel Ángel Guerrero\Miguel-Angel-Guerrero,es ESP,FW,Sporting Gijón,es La Liga,25,1990,23,13,1088,2,1,0,0,2,0,0.17,0.08,0.25,0.17,0.25,Matches
96,Miguel Ángel\Miguel-Angel,es ESP,DF,Getafe,es La Liga,19,1996,3,2,201,0,0,0,0,1,0,0,0,0,0,0,Matches
97,Marcos Angeleri\Marcos-Angeleri,ar ARG,DF,Málaga,es La Liga,32,1983,13,13,1110,0,1,0,0,3,0,0,0.08,0.08,0,0.08,Matches
98,Benjamin Angoua\Benjamin-Angoua,ci CIV,DF,Guingamp,fr Ligue 1,28,1986,18,13,1242,1,0,0,0,4,0,0.07,0,0.07,0.07,0.07,Matches
99,Gaël Angoula\Gael-Angoula,fr FRA,DF,Angers,fr Ligue 1,33,1982,13,10,1013,0,0,0,0,3,0,0,0,0,0,0,Matches
100,Victor Anichebe\Victor-Anichebe,ng NGA,FW,West Brom,eng Premier League,27,1988,10,3,369,0,0,0,0,0,0,0,0,0,0,0,Matches
101,Vurnon Anita\Vurnon-Anita,nl NED,MFDF,Newcastle Utd,eng Premier League,26,1989,28,24,2101,1,3,0,0,6,0,0.04,0.13,0.17,0.04,0.17,Matches
102,Cristian Ansaldi\Cristian-Ansaldi,ar ARG,MFDF,Genoa,it Serie A,28,1986,24,23,2010,0,4,0,0,4,0,0,0.18,0.18,0,0.18,Matches
103,Ion Ansotegi\Ion-Ansotegi,es ESP,DF,Eibar,es La Liga,33,1982,8,6,544,0,0,0,0,0,0,0,0,0,0,0,Matches
104,Luca Antei\Luca-Antei,it ITA,DF,Sassuolo,it Serie A,23,1992,5,4,341,0,1,0,0,2,0,0,0.26,0.26,0,0.26,Matches
105,Waldemar Anton\Waldemar-Anton,de GER,DFMF,Hannover 96,de Bundesliga,19,1996,8,6,583,1,0,0,0,2,0,0.15,0,0.15,0.15,0.15,Matches
106,Luca Antonelli\Luca-Antonelli,it ITA,DF,Milan,it Serie A,28,1987,28,25,2338,3,1,0,0,2,0,0.12,0.04,0.15,0.12,0.15,Matches
107,José Antonio Reyes\Jose-Antonio-Reyes,es ESP,MF,Sevilla,es La Liga,31,1983,24,14,1181,1,1,0,0,6,0,0.08,0.08,0.15,0.08,0.15,Matches
108,Michail Antonio\Michail-Antonio,eng ENG,MFFW,West Ham,eng Premier League,25,1990,26,23,2057,8,3,0,0,3,0,0.35,0.13,0.48,0.35,0.48,Matches
109,Ikechi Anya\Ikechi-Anya,sco SCO,MFDF,Watford,eng Premier League,27,1988,28,17,1686,0,1,0,0,0,0,0,0.05,0.05,0,0.05,Matches
110,Siniša Anđelković\Sinisa-Andjelkovic,si SVN,DF,Palermo,it Serie A,29,1986,23,21,1908,0,1,0,0,4,1,0,0.05,0.05,0,0.05,Matches
111,Dennis Aogo\Dennis-Aogo,de GER,DFMF,Schalke 04,de Bundesliga,28,1987,23,20,1852,0,1,0,0,4,0,0,0.05,0.05,0,0.05,Matches
112,Dennis Appiah\Dennis-Appiah,fr FRA,DF,Caen,fr Ligue 1,23,1992,38,38,3420,1,1,0,0,2,0,0.03,0.03,0.05,0.03,0.05,Matches
113,Youssef El-Arabi\Youssef-El-Arabi,ma MAR,FW,Granada,es La Liga,28,1987,35,27,2518,16,2,7,7,3,0,0.57,0.07,0.64,0.32,0.39,Matches
114,Mauro Arambarri\Mauro-Arambarri,uy URU,MF,Bordeaux,fr Ligue 1,19,1995,5,2,154,0,0,0,0,1,0,0,0,0,0,0,Matches
115,Charles Aránguiz\Charles-Aranguiz,cl CHI,MFDF,Leverkusen,de Bundesliga,26,1989,7,5,470,2,1,0,0,1,0,0.38,0.19,0.57,0.38,0.57,Matches
116,Alexis Araujo\Alexis-Araujo,pt POR,MF,Lille,fr Ligue 1,18,1996,1,0,4,0,0,0,0,0,0,0,0,0,0,0,Matches
117,Sergio Araujo\Sergio-Araujo,ar ARG,FW,Las Palmas,es La Liga,23,1992,30,20,1828,5,3,0,0,4,0,0.25,0.15,0.39,0.25,0.39,Matches
118,Álvaro Arbeloa\Alvaro-Arbeloa,es ESP,DF,Real Madrid,es La Liga,32,1983,6,2,267,0,0,0,0,1,0,0,0,0,0,0,Matches
119,Anaitz Arbilla\Anaitz-Arbilla,es ESP,DF,Espanyol,es La Liga,28,1987,7,7,630,0,0,0,0,3,0,0,0,0,0,0,Matches
120,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Villarreal,es La Liga,22,1993,32,32,2880,0,0,0,0,1,0,0,0,0,0,0,Matches
121,Lorenzo Ariaudo\Lorenzo-Ariaudo,it ITA,DF,Empoli,it Serie A,26,1989,5,5,421,0,0,0,0,0,0,0,0,0,0,0,Matches
122,Lorenzo Ariaudo\Lorenzo-Ariaudo,it ITA,DF,Sassuolo,it Serie A,26,1989,4,2,237,0,0,0,0,0,0,0,0,0,0,0,Matches
123,Fynn Arkenberg\Fynn-Arkenberg,de GER,DF,Hannover 96,de Bundesliga,19,1996,2,2,180,0,0,0,0,0,0,0,0,0,0,0,Matches
124,Giedrius Arlauskis\Giedrius-Arlauskis,lt LTU,GK,Watford,eng Premier League,27,1987,1,0,24,0,0,0,0,0,0,0,0,0,0,0,Matches
125,Giedrius Arlauskis\Giedrius-Arlauskis,lt LTU,GK,Espanyol,es La Liga,27,1987,3,3,225,0,0,0,0,0,0,0,0,0,0,0,Matches
126,Sylvain Armand\Sylvain-Armand,fr FRA,DF,Rennes,fr Ligue 1,34,1980,34,33,2991,1,1,0,1,5,0,0.03,0.03,0.06,0.03,0.06,Matches
127,Pablo Armero\Pablo-Armero,co COL,MF,Udinese,it Serie A,28,1986,5,5,417,1,0,0,0,0,0,0.22,0,0.22,0.22,0.22,Matches
128,Marko Arnautović\Marko-Arnautovic,at AUT,MFFW,Stoke City,eng Premier League,26,1989,34,33,2807,11,6,3,3,2,0,0.35,0.19,0.55,0.26,0.45,Matches
129,Maximilian Arnold\Maximilian-Arnold,de GER,MF,Wolfsburg,de Bundesliga,21,1994,31,22,2039,3,2,0,0,4,0,0.13,0.09,0.22,0.13,0.22,Matches
130,Alejandro Arribas\Alejandro-Arribas,es ESP,DF,La Coruña,es La Liga,26,1989,31,31,2734,2,0,0,0,10,1,0.07,0,0.07,0.07,0.07,Matches
131,Mikel Arruabarrena\Mikel-Arruabarrena,es ESP,FW,Eibar,es La Liga,32,1983,6,0,68,1,0,0,0,0,0,1.32,0,1.32,1.32,1.32,Matches
132,Ahmet Arslan\Ahmet-Arslan,de GER,MF,Hamburger SV,de Bundesliga,21,1994,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
133,Harry Arter\Harry-Arter,ie IRL,MF,Bournemouth,eng Premier League,25,1989,21,21,1661,1,0,0,0,7,0,0.05,0,0.05,0.05,0.05,Matches
134,Mikel Arteta\Mikel-Arteta,es ESP,MF,Arsenal,eng Premier League,33,1982,9,0,169,0,0,0,0,1,0,0,0,0,0,0,Matches
135,Aythami Artiles\Aythami-Artiles,es ESP,DF,Las Palmas,es La Liga,29,1986,31,30,2641,0,1,0,0,11,2,0,0.03,0.03,0,0.03,Matches
136,Kwadwo Asamoah\Kwadwo-Asamoah,gh GHA,MF,Juventus,it Serie A,26,1988,11,6,569,0,1,0,0,1,0,0,0.16,0.16,0,0.16,Matches
137,Carlos Ascues\Carlos-Ascues,pe PER,DFMF,Wolfsburg,de Bundesliga,23,1992,1,0,9,0,0,0,0,0,0,0,0,0,0,0,Matches
138,Sergio Asenjo\Sergio-Asenjo,es ESP,GK,Villarreal,es La Liga,26,1989,4,4,360,0,0,0,0,1,0,0,0,0,0,0,Matches
139,Marco Asensio\Marco-Asensio,es ESP,MFFW,Espanyol,es La Liga,19,1996,34,33,2822,4,10,0,0,3,0,0.13,0.32,0.45,0.13,0.45,Matches
140,Iago Aspas\Iago-Aspas,es ESP,FWMF,Celta Vigo,es La Liga,27,1987,35,31,2644,14,4,1,1,8,0,0.48,0.14,0.61,0.44,0.58,Matches
141,Benoît Assou-Ekotto\Benoit-Assou-Ekotto,cm CMR,DF,Saint-Étienne,fr Ligue 1,31,1984,20,19,1704,0,0,0,0,1,0,0,0,0,0,0,Matches
142,Davide Astori\Davide-Astori,it ITA,DF,Fiorentina,it Serie A,28,1987,33,32,2901,0,0,0,0,5,0,0,0,0,0,0,Matches
143,Christian Atsu\Christian-Atsu,gh GHA,MF,Málaga,es La Liga,23,1992,12,3,401,2,0,0,0,0,0,0.45,0,0.45,0.45,0.45,Matches
144,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Dortmund,de Bundesliga,26,1989,31,28,2467,25,5,3,4,4,0,0.91,0.18,1.09,0.8,0.99,Matches
145,Johan Audel\Johan-Audel,mq MTQ,MFFW,Nantes,fr Ligue 1,31,1983,29,11,1278,2,3,0,0,4,0,0.14,0.21,0.35,0.14,0.35,Matches
146,Jean-Kévin Augustin\Jean-Kevin-Augustin,fr FRA,FW,Paris S-G,fr Ligue 1,18,1997,13,4,423,1,0,0,0,1,0,0.21,0,0.21,0.21,0.21,Matches
147,Olivier Auriac\Olivier-Auriac,fr FRA,MF,Angers,fr Ligue 1,31,1983,16,3,405,0,0,0,0,1,0,0,0,0,0,0,Matches
148,Serge Aurier\Serge-Aurier,ci CIV,DF,Paris S-G,fr Ligue 1,22,1992,21,21,1886,2,2,0,0,8,0,0.1,0.1,0.19,0.1,0.19,Matches
149,Charlie Austin\Charlie-Austin,eng ENG,FW,Southampton,eng Premier League,26,1989,7,2,211,1,0,0,0,0,0,0.43,0,0.43,0.43,0.43,Matches
150,Danilo Avelar\Danilo-Avelar,br BRA,MF,Torino,it Serie A,26,1989,6,4,344,0,2,0,0,1,0,0,0.52,0.52,0,0.52,Matches
151,Thomas Ayasse\Thomas-Ayasse,fr FRA,MFDF,Troyes,fr Ligue 1,28,1987,14,12,1014,1,0,0,0,4,1,0.09,0,0.09,0.09,0.09,Matches
152,André Ayew\Andre-Ayew,gh GHA,MFFW,Swansea City,eng Premier League,25,1989,34,34,2925,12,2,0,0,5,0,0.37,0.06,0.43,0.37,0.43,Matches
153,Jordan Ayew\Jordan-Ayew,gh GHA,FW,Aston Villa,eng Premier League,23,1991,30,27,2349,7,0,1,1,6,1,0.27,0,0.27,0.23,0.23,Matches
154,Kaan Ayhan\Kaan-Ayhan,tr TUR,DFMF,Schalke 04,de Bundesliga,20,1994,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
155,Kaan Ayhan\Kaan-Ayhan,tr TUR,MF,Eint Frankfurt,de Bundesliga,20,1994,2,1,79,0,0,0,0,1,0,0,0,0,0,0,Matches
156,Floyd Ayité\Floyd-Ayite,tg TOG,FWMF,Bastia,fr Ligue 1,26,1988,32,30,2626,8,3,1,1,2,1,0.27,0.1,0.38,0.24,0.34,Matches
157,Karim Azamoum\Karim-Azamoum,fr FRA,MFFW,Troyes,fr Ligue 1,25,1990,14,9,756,2,1,0,0,2,0,0.24,0.12,0.36,0.24,0.36,Matches
158,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,eng Premier League,25,1989,37,36,3199,2,3,0,0,7,0,0.06,0.08,0.14,0.06,0.14,Matches
