Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Sunderland,eng Premier League,24,1990,33,33,2970,4,3,0,0,2,0,0.12,0.09,0.21,0.12,0.21,Matches
2,Rolando Aarons\Rolando-Aarons,eng ENG,DFMF,Newcastle Utd,eng Premier League,19,1995,10,3,381,1,1,0,0,1,0,0.24,0.24,0.47,0.24,0.47,Matches
3,Ignazio Abate\Ignazio-Abate,it ITA,DF,Milan,it Serie A,28,1986,27,27,2248,1,1,0,0,7,0,0.04,0.04,0.08,0.04,0.08,Matches
4,Christian Abbiati\Christian-Abbiati,it ITA,GK,Milan,it Serie A,38,1977,1,0,72,0,0,0,0,0,0,0,0,0,0,0,Matches
5,Aymen Abdennour\Aymen-Abdennour,tn TUN,DF,Valencia,es La Liga,25,1989,22,22,1851,0,0,0,0,4,0,0,0,0,0,0,Matches
6,Almen Abdi\Almen-Abdi,ch SUI,MF,Watford,eng Premier League,28,1986,32,25,1974,2,0,0,0,4,0,0.09,0,0.09,0.09,0.09,Matches
7,Rafidine Abdullah\Rafidine-Abdullah,km COM,MF,Lorient,fr Ligue 1,21,1994,12,6,579,1,0,0,0,6,1,0.16,0,0.16,0.16,0.16,Matches
8,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,29,1986,31,28,2547,0,0,0,0,8,0,0,0,0,0,0,Matches
9,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,eng Premier League,17,1997,2,0,55,0,0,0,0,0,0,0,0,0,0,0,Matches
10,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Sassuolo,it Serie A,27,1988,36,36,3240,4,0,0,0,3,0,0.11,0,0.11,0.11,0.11,Matches
11,Robert Acquafresca\Robert-Acquafresca,it ITA,FW,Bologna,it Serie A,27,1987,6,2,208,0,0,0,0,0,0,0,0,0,0,0,Matches
12,Afriyie Acquah\Afriyie-Acquah,gh GHA,MF,Torino,it Serie A,23,1992,29,22,1888,2,3,0,0,9,0,0.1,0.14,0.24,0.1,0.24,Matches
13,Charlie Adam\Charlie-Adam,sco SCO,MF,Stoke City,eng Premier League,29,1985,22,12,1044,1,1,0,0,6,1,0.09,0.09,0.17,0.09,0.17,Matches
14,Antonio Adán\Antonio-Adan,es ESP,GK,Betis,es La Liga,28,1987,36,36,3210,0,0,0,0,6,0,0,0,0,0,0,Matches
15,Emmanuel Adebayor\Emmanuel-Adebayor,tg TOG,FW,Crystal Palace,eng Premier League,31,1984,12,7,619,1,1,0,0,1,0,0.15,0.15,0.29,0.15,0.29,Matches
