Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
36,David Alaba\David-Alaba,at AUT,DF,Bayern Munich,de Bundesliga,24,1992,32,29,2506,4,4,0,0,1,0,0.14,0.14,0.29,0.14,0.29,Matches
37,Javi Álamo\Javi-Alamo,es ESP,FWMF,Osasuna,es La Liga,27,1988,2,0,16,0,0,0,0,0,0,0,0,0,0,0,Matches
38,Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,es La Liga,27,1989,26,21,1969,1,5,0,0,4,0,0.05,0.23,0.27,0.05,0.27,Matches
39,Raúl Albentosa\Raul-Albentosa,es ESP,DF,La Coruña,es La Liga,27,1988,27,26,2336,1,1,0,0,10,1,0.04,0.04,0.08,0.04,0.08,Matches
40,Luis Alberto\Luis-Alberto,es ESP,MFFW,Lazio,it Serie A,23,1992,9,4,365,1,2,0,0,0,0,0.25,0.49,0.74,0.25,0.74,Matches
41,Raúl Albiol\Raul-Albiol,es ESP,DF,Napoli,it Serie A,30,1985,26,25,2297,0,1,0,0,8,0,0,0.04,0.04,0,0.04,Matches
42,Marc Albrighton\Marc-Albrighton,eng ENG,MF,Leicester City,eng Premier League,26,1989,33,29,2411,2,6,0,0,5,0,0.07,0.22,0.3,0.07,0.3,Matches
43,Paco Alcácer\Paco-Alcacer,es ESP,FW,Barcelona,es La Liga,22,1993,20,6,866,6,3,0,0,1,0,0.62,0.31,0.94,0.62,0.94,Matches
44,Paco Alcácer\Paco-Alcacer,es ESP,FW,Valencia,es La Liga,22,1993,1,1,90,0,0,0,0,0,0,0,0,0,0,0,Matches
45,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Bayern Munich,de Bundesliga,25,1991,27,26,2288,6,5,0,0,4,0,0.24,0.2,0.43,0.24,0.43,Matches
46,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,eng Premier League,27,1989,30,30,2601,1,0,0,0,1,0,0.03,0,0.03,0.03,0.03,Matches
47,Haitam Aleesami\Haitam-Aleesami,no NOR,MFDF,Palermo,it Serie A,25,1991,31,29,2630,1,3,0,0,6,0,0.03,0.1,0.14,0.03,0.14,Matches
48,Álex Alegría\Alex-Alegria,es ESP,FW,Betis,es La Liga,23,1992,25,15,1440,3,2,0,0,2,0,0.19,0.12,0.31,0.19,0.31,Matches
49,Alexis Alegue\Alexis-Alegue,fr FRA,FW,Nantes,fr Ligue 1,19,1996,2,0,18,0,0,0,0,0,0,0,0,0,0,0,Matches
50,Carles Aleñá\Carles-Alena,es ESP,MF,Barcelona,es La Liga,18,1998,3,0,45,0,0,0,0,1,0,0,0,0,0,0,Matches
51,Romain Alessandrini\Romain-Alessandrini,fr FRA,FWMF,Marseille,fr Ligue 1,27,1989,6,3,241,0,0,0,0,1,0,0,0,0,0,0,Matches
52,Alexander\Alexander,ar ARG,MF,Leganés,es La Liga,27,1988,28,24,2022,8,2,1,1,1,0,0.36,0.09,0.45,0.31,0.4,Matches
53,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,MFDF,Liverpool,eng Premier League,17,1998,7,2,167,0,0,0,0,0,0,0,0,0,0,0,Matches
54,Alexis\Alexis,es ESP,DF,Alavés,es La Liga,30,1985,24,19,1821,2,1,0,0,11,2,0.1,0.05,0.15,0.1,0.15,Matches
55,Jérémie Aliadière\Jeremie-Aliadiere,fr FRA,FW,Lorient,fr Ligue 1,33,1983,13,6,487,1,2,0,0,0,0,0.18,0.37,0.55,0.18,0.55,Matches
56,Sami Allagui\Sami-Allagui,tn TUN,FWMF,Hertha BSC,de Bundesliga,30,1986,12,0,181,1,0,1,1,2,0,0.5,0,0.5,0,0,Matches
57,Allan\Allan,br BRA,MF,Hertha BSC,de Bundesliga,19,1997,15,8,798,0,0,0,0,3,0,0,0,0,0,0,Matches
58,Allan\Allan,br BRA,MF,Napoli,it Serie A,25,1991,29,19,1610,1,6,0,0,3,0,0.06,0.34,0.39,0.06,0.39,Matches
59,Joe Allen\Joe-Allen,wal WAL,MF,Stoke City,eng Premier League,26,1990,36,34,2930,6,2,0,0,9,0,0.18,0.06,0.25,0.18,0.25,Matches
60,Dele Alli\Dele-Alli,eng ENG,MF,Tottenham,eng Premier League,20,1996,37,35,3034,18,7,1,1,4,0,0.53,0.21,0.74,0.5,0.71,Matches
61,Ryan Allsop\Ryan-Allsop,eng ENG,GK,Bournemouth,eng Premier League,24,1992,1,1,90,0,0,0,0,0,0,0,0,0,0,0,Matches
62,Júnior Alonso\Junior-Alonso,py PAR,DF,Lille,fr Ligue 1,23,1993,12,10,959,0,1,0,0,1,0,0,0.09,0.09,0,0.09,Matches
63,Marcos Alonso\Marcos-Alonso,es ESP,MF,Fiorentina,it Serie A,25,1990,2,2,180,0,0,0,0,0,0,0,0,0,0,0,Matches
64,Marcos Alonso\Marcos-Alonso,es ESP,MF,Chelsea,eng Premier League,25,1990,31,30,2693,6,3,0,0,2,0,0.2,0.1,0.3,0.2,0.3,Matches
65,Xabi Alonso\Xabi-Alonso,es ESP,MF,Bayern Munich,de Bundesliga,34,1981,27,22,1903,3,2,0,0,6,0,0.14,0.09,0.24,0.14,0.24,Matches
66,Halil Altıntop\Halil-Altintop,tr TUR,MF,Augsburg,de Bundesliga,33,1982,31,17,1605,6,2,0,0,1,0,0.34,0.11,0.45,0.34,0.45,Matches
