Rk,Squad,Country,LgRk,MP,W,D,L,GF,GA,GDiff,Pts,Pts/G,Attendance,Top Team Scorer,Goalkeeper
1,Monaco,fr FRA,1,38,30,5,3,107,31,76,95,2.5,9586,Radamel Falcao - 21,Danijel Subašić
2,Chelsea,eng ENG,1,38,30,3,5,85,33,52,93,2.45,41508,Diego Costa - 20,Thibaut Courtois
3,Real Madrid,es ESP,1,38,29,6,3,106,41,65,93,2.45,69426,Cristiano Ronaldo - 25,Keylor Navas
4,Bayern Munich,de GER,1,34,25,7,2,89,22,67,82,2.41,75000,Robert Lewandowski - 30,Manuel Neuer
5,Juventus,it ITA,1,38,29,4,5,77,27,50,91,2.39,39936,Gonzalo Higuaín - 24,Gianluigi Buffon
6,Barcelona,es ESP,2,38,28,6,4,116,37,79,90,2.37,78034,Lionel Messi - 37,Marc-André ter Stegen
7,Paris S-G,fr FRA,2,38,27,6,5,83,27,56,87,2.29,45160,Edinson Cavani - 35,Kevin Trapp
8,Roma,it ITA,2,38,28,3,7,90,38,52,87,2.29,32638,Edin Džeko - 29,Wojciech Szczęsny
9,Tottenham,eng ENG,2,38,26,8,4,86,26,60,86,2.26,31639,Harry Kane - 29,Hugo Lloris
10,Napoli,it ITA,3,38,26,8,4,94,39,55,86,2.26,36601,Dries Mertens - 28,Pepe Reina
11,Manchester City,eng ENG,3,38,23,9,6,80,39,41,78,2.05,54019,Sergio Agüero - 20,Claudio Bravo
12,Nice,fr FRA,3,38,22,12,4,63,36,27,78,2.05,22949,Mario Balotelli - 15,Yoan Cardinale
13,Atlético Madrid,es ESP,3,38,23,9,6,70,27,43,78,2.05,44710,Antoine Griezmann - 16,Jan Oblak
14,Liverpool,eng ENG,4,38,22,10,6,78,42,36,76,2,53016,Philippe Coutinho Sadio Mané - 13,Simon Mignolet
15,Arsenal,eng ENG,5,38,23,6,9,77,44,33,75,1.97,59957,Alexis Sánchez - 24,Petr Čech
16,RB Leipzig,de GER,2,34,20,7,7,66,39,27,67,1.97,41455,Timo Werner - 21,Péter Gulácsi
17,Atalanta,it ITA,4,38,21,9,8,62,41,21,72,1.89,16948,Papu Gómez - 16,Etrit Berisha
18,Sevilla,es ESP,4,38,21,9,8,69,49,20,72,1.89,32814,Wissam Ben Yedder - 11,Sergio Rico
19,Dortmund,de GER,3,34,18,10,6,72,40,32,64,1.88,79653,Pierre-Emerick Aubameyang - 31,Roman Bürki
20,Lazio,it ITA,5,38,21,7,10,74,51,23,70,1.84,20453,Ciro Immobile - 23,Thomas Strakosha
21,Manchester Utd,eng ENG,6,38,18,15,5,54,29,25,69,1.82,75290,Zlatan Ibrahimović - 17,David de Gea
22,Hoffenheim,de GER,4,34,16,14,4,64,37,27,62,1.82,28155,Andrej Kramarić - 15,Oliver Baumann
23,Lyon,fr FRA,4,38,21,4,13,77,48,29,67,1.76,39171,Alexandre Lacazette - 28,Anthony Lopes
24,Villarreal,es ESP,5,38,19,10,9,56,33,23,67,1.76,17568,Cédric Bakambu - 11,Sergio Asenjo
25,Real Sociedad,es ESP,6,38,19,7,12,59,53,6,64,1.68,21453,Willian José - 12,Gerónimo Rulli
26,Milan,it ITA,6,38,18,9,11,57,45,12,63,1.66,40326,Carlos Bacca - 13,Gianluigi Donnarumma
27,Athletic Club,es ESP,7,38,19,6,13,53,43,10,63,1.66,41042,Aritz Aduriz - 16,Kepa Arrizabalaga
28,Marseille,fr FRA,5,38,17,11,10,57,41,16,62,1.63,39894,Bafétimbi Gomis - 20,Yohann Pelé
