Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
748,Christian Eriksen\Christian-Eriksen,dk DEN,MFFW,Tottenham,eng Premier League,26,1992,35,30,2774,8,12,0,0,3,0,0.26,0.39,0.65,0.26,0.65,5.5,5.5,6.9,0.18,0.22,0.4,0.18,0.4,Matches
749,Patrick Erras\Patrick-Erras,de GER,MF,Nürnberg,de Bundesliga,23,1995,19,13,1222,0,1,0,0,1,0,0,0.07,0.07,0,0.07,0.6,0.6,0.5,0.05,0.04,0.08,0.05,0.08,Matches
750,Gonzalo Escalante\Gonzalo-Escalante,ar ARG,MF,Eibar,es La Liga,25,1993,32,18,1789,4,1,0,0,6,0,0.2,0.05,0.25,0.2,0.25,2.1,2.1,1,0.11,0.05,0.15,0.11,0.15,Matches
751,Sergio Escudero\Sergio-Escudero,es ESP,DFMF,Sevilla,es La Liga,28,1989,21,18,1545,0,1,0,0,8,1,0,0.06,0.06,0,0.06,1.2,1.2,1.1,0.07,0.07,0.14,0.07,0.14,Matches
752,Bernardo Espinosa\Bernardo-Espinosa,co COL,DF,Girona,es La Liga,29,1989,31,31,2727,1,1,0,0,6,2,0.03,0.03,0.07,0.03,0.07,1.4,1.4,0.9,0.05,0.03,0.07,0.05,0.07,Matches
753,Michael Esser\Michael-Esser,de GER,GK,Hannover 96,de Bundesliga,30,1987,32,32,2880,0,0,0,0,3,0,0,0,0,0,0,0,0,0.8,0,0.02,0.02,0,0.02,Matches
754,Alexander Esswein\Alexander-Esswein,de GER,FWMF,Stuttgart,de Bundesliga,28,1990,17,15,1251,0,0,0,0,3,0,0,0,0,0,0,1.7,1.7,2.2,0.12,0.16,0.28,0.12,0.28,Matches
755,Neil Etheridge\Neil-Etheridge,ph PHI,GK,Cardiff City,eng Premier League,28,1990,38,38,3420,0,0,0,0,2,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,Matches
756,Beñat Etxebarria\Benat-Etxebarria,es ESP,MF,Athletic Club,es La Liga,31,1987,27,25,2031,1,2,0,0,8,0,0.04,0.09,0.13,0.04,0.13,0.5,0.5,2.4,0.02,0.11,0.13,0.02,0.13,Matches
757,Xabier Etxeita\Xabier-Etxeita,es ESP,DF,Huesca,es La Liga,30,1987,31,30,2677,4,0,0,0,10,0,0.13,0,0.13,0.13,0.13,2.3,2.3,0.2,0.08,0.01,0.08,0.08,0.08,Matches
758,Lucas Evangelista\Lucas-Evangelista,br BRA,FWMF,Nantes,fr Ligue 1,23,1995,14,9,720,1,0,0,0,0,0,0.12,0,0.12,0.12,0.12,0.8,0.8,0.3,0.1,0.03,0.13,0.1,0.13,Matches
759,Jonny Evans\Jonny-Evans,nir NIR,DF,Leicester City,eng Premier League,30,1988,24,21,1996,1,0,0,0,2,0,0.05,0,0.05,0.05,0.05,0.9,0.9,0.2,0.04,0.01,0.05,0.04,0.05,Matches
760,Ewerton\Ewerton,br BRA,DF,Nürnberg,de Bundesliga,29,1989,18,15,1341,0,0,0,0,2,0,0,0,0,0,0,0.4,0.4,0.1,0.03,0,0.03,0.03,0.03,Matches
761,Valentin Eysseric\Valentin-Eysseric,fr FRA,FWMF,Fiorentina,it Serie A,26,1992,8,4,358,0,1,0,0,1,0,0,0.25,0.25,0,0.25,0.1,0.1,0.8,0.03,0.21,0.24,0.03,0.24,Matches
762,Valentin Eysseric\Valentin-Eysseric,fr FRA,MFFW,Nantes,fr Ligue 1,26,1992,5,3,209,1,0,1,2,1,0,0.43,0,0.43,0,0,1.9,0.4,0.2,0.83,0.1,0.92,0.17,0.27,Matches
763,Marco Fabián\Marco-Fabian,mx MEX,FW,Eint Frankfurt,de Bundesliga,29,1989,1,1,62,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.13,0,0.13,0.13,0.13,Matches
764,?ukasz Fabia?ski\Lukasz-Fabianski,pl POL,GK,West Ham,eng Premier League,33,1985,38,38,3420,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.01,0.01,0,0.01,Matches
765,Fabinho\Fabinho,br BRA,MF,Liverpool,eng Premier League,24,1993,28,21,2017,1,2,0,0,6,0,0.04,0.09,0.13,0.04,0.13,1,1,1.3,0.04,0.06,0.1,0.04,0.1,Matches
766,Fábio\Fabio,br BRA,DF,Nantes,fr Ligue 1,28,1990,20,15,1276,0,2,0,0,4,1,0,0.14,0.14,0,0.14,0.2,0.2,0.4,0.02,0.03,0.05,0.02,0.05,Matches
767,Cesc Fàbregas\Cesc-Fabregas,es ESP,MF,Chelsea,eng Premier League,31,1987,6,1,180,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.3,0.05,0.14,0.19,0.05,0.19,Matches
768,Cesc Fàbregas\Cesc-Fabregas,es ESP,MF,Monaco,fr Ligue 1,31,1987,13,12,966,1,0,0,0,2,0,0.09,0,0.09,0.09,0.09,1.7,1.7,0.9,0.16,0.08,0.25,0.16,0.25,Matches
769,Fabricio\Fabricio,es ESP,GK,Fulham,eng Premier League,30,1987,2,2,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
770,Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Schalke 04,de Bundesliga,29,1988,17,16,1470,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,Matches
771,Romain Faivre\Romain-Faivre,fr FRA,MFFW,Monaco,fr Ligue 1,20,1998,1,1,90,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0,0.19,0.04,0.23,0.19,0.23,Matches
772,Fayçal Fajr\Faycal-Fajr,ma MAR,MF,Caen,fr Ligue 1,29,1988,36,36,3240,5,4,0,0,6,0,0.14,0.11,0.25,0.14,0.25,2.4,2.4,4.3,0.07,0.12,0.19,0.07,0.19,Matches
773,Radamel Falcao\Radamel-Falcao,co COL,FW,Monaco,fr Ligue 1,32,1986,33,29,2557,15,2,3,4,10,0,0.53,0.07,0.6,0.42,0.49,15.3,12.2,1.8,0.54,0.06,0.6,0.43,0.49,Matches
774,Diego Falcinelli\Diego-Falcinelli,it ITA,FW,Bologna,it Serie A,27,1991,16,8,703,0,1,0,0,0,0,0,0.13,0.13,0,0.13,2.2,2.2,0.9,0.28,0.11,0.4,0.28,0.4,Matches
775,Simon Falette\Simon-Falette,gn GUI,DF,Eint Frankfurt,de Bundesliga,26,1992,7,7,600,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.01,0,0.01,0.01,0.01,Matches
776,Iago Falque\Iago-Falque,es ESP,FWMF,Torino,it Serie A,28,1990,26,19,1612,6,4,0,0,1,0,0.33,0.22,0.56,0.33,0.56,5.9,5.9,4.1,0.33,0.23,0.55,0.33,0.55,Matches
777,Paolo Faragò\Paolo-Farago,it ITA,MFDF,Cagliari,it Serie A,25,1993,26,17,1703,1,1,0,0,8,1,0.05,0.05,0.11,0.05,0.11,2.1,2.1,2.4,0.11,0.12,0.23,0.11,0.23,Matches
778,Mohamed Fares\Mohamed-Fares,dz ALG,DFMF,SPAL,it Serie A,22,1996,35,32,2949,3,0,0,0,12,0,0.09,0,0.09,0.09,0.09,2.7,2.7,2.5,0.08,0.08,0.16,0.08,0.16,Matches
779,Diego Farias\Diego-Farias,br BRA,FW,Cagliari,it Serie A,28,1990,16,7,700,3,0,0,0,3,0,0.39,0,0.39,0.39,0.39,2.5,2.5,0.3,0.32,0.03,0.36,0.32,0.36,Matches
780,Diego Farias\Diego-Farias,br BRA,FW,Empoli,it Serie A,28,1990,16,16,1193,4,4,0,0,1,0,0.3,0.3,0.6,0.3,0.6,4.5,4.5,3.8,0.34,0.29,0.62,0.34,0.62,Matches
781,Andrea Favilli\Andrea-Favilli,it ITA,FWMF,Genoa,it Serie A,21,1997,6,0,170,0,2,0,0,0,0,0,1.06,1.06,0,1.06,0.3,0.3,0.2,0.18,0.13,0.31,0.18,0.31,Matches
782,Federico Fazio\Federico-Fazio,ar ARG,DF,Roma,it Serie A,31,1987,34,31,2806,5,0,0,0,6,0,0.16,0,0.16,0.16,0.16,2.6,2.6,0.2,0.08,0.01,0.09,0.08,0.09,Matches
783,Zouhair Feddal\Zouhair-Feddal,ma MAR,DF,Betis,es La Liga,29,1989,21,19,1702,1,1,0,0,7,0,0.05,0.05,0.11,0.05,0.11,1.6,1.6,0.4,0.08,0.02,0.1,0.08,0.1,Matches
784,Nabil Fekir\Nabil-Fekir,fr FRA,MF,Lyon,fr Ligue 1,25,1993,29,24,1988,9,7,4,6,5,0,0.41,0.32,0.72,0.23,0.54,10.6,6,5.6,0.48,0.25,0.73,0.27,0.53,Matches
785,Yassin Fekir\Yassin-Fekir,fr FRA,FW,Lyon,fr Ligue 1,21,1997,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.12,0.79,0.92,0.12,0.92,Matches
786,Felipe\Felipe,br BRA,DF,Hannover 96,de Bundesliga,31,1987,17,14,1095,2,0,0,0,5,1,0.16,0,0.16,0.16,0.16,0.8,0.8,0,0.07,0,0.07,0.07,0.07,Matches
787,Luiz Felipe\Luiz-Felipe,br BRA,DF,Lazio,it Serie A,21,1997,17,15,1289,1,1,0,0,4,0,0.07,0.07,0.14,0.07,0.14,0.5,0.5,0.2,0.04,0.01,0.05,0.04,0.05,Matches
788,Ohis Felix Uduokhai\Ohis-Felix-Uduokhai,de GER,DF,Wolfsburg,de Bundesliga,20,1997,11,2,244,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches
789,Marouane Fellaini\Marouane-Fellaini,be BEL,MF,Manchester Utd,eng Premier League,30,1987,14,6,752,0,1,0,0,1,0,0,0.12,0.12,0,0.12,0.4,0.4,0.1,0.05,0.01,0.06,0.05,0.06,Matches
790,Kiko Femenía\Kiko-Femenia,es ESP,DF,Watford,eng Premier League,27,1991,29,22,2049,1,1,0,0,1,0,0.04,0.04,0.09,0.04,0.09,0.5,0.5,1.8,0.02,0.08,0.1,0.02,0.1,Matches
791,Edimilson Fernandes\Edimilson-Fernandes,ch SUI,MF,Fiorentina,it Serie A,22,1996,29,23,1970,2,0,0,0,9,1,0.09,0,0.09,0.09,0.09,1,1,1.1,0.05,0.05,0.1,0.05,0.1,Matches
792,Gelson Fernandes\Gelson-Fernandes,ch SUI,MF,Eint Frankfurt,de Bundesliga,31,1986,28,28,2225,1,0,0,0,10,1,0.04,0,0.04,0.04,0.04,0.9,0.9,0.2,0.04,0.01,0.04,0.04,0.04,Matches
793,Aitor Fernández\Aitor-Fernandez,es ESP,GK,Levante,es La Liga,27,1991,16,16,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
794,Andrés Fernández\Andres-Fernandez,es ESP,GK,Villarreal,es La Liga,31,1986,6,6,540,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
795,Borja Fernández\Borja-Fernandez,es ESP,MFDF,Valladolid,es La Liga,37,1981,19,10,841,0,0,0,0,4,0,0,0,0,0,0,0.1,0.1,0,0.02,0,0.02,0.02,0.02,Matches
796,Federico Fernández\Federico-Fernandez,ar ARG,DF,Newcastle Utd,eng Premier League,29,1989,19,17,1484,0,1,0,0,2,0,0,0.06,0.06,0,0.06,0.2,0.2,0.3,0.01,0.02,0.03,0.01,0.03,Matches
797,Joaquín Fernández\Joaquin-Fernandez,es ESP,DFMF,Valladolid,es La Liga,22,1996,13,9,839,1,0,0,0,2,0,0.11,0,0.11,0.11,0.11,0.5,0.5,0,0.05,0,0.05,0.05,0.05,Matches
798,Fernandinho\Fernandinho,br BRA,MF,Manchester City,eng Premier League,33,1985,29,27,2377,1,3,0,0,5,0,0.04,0.11,0.15,0.04,0.15,1.9,1.9,2.9,0.07,0.11,0.18,0.07,0.18,Matches
799,Juan Ferney Otero\Juan-Ferney-Otero,co COL,FWMF,Amiens,fr Ligue 1,23,1995,33,24,2175,2,2,0,0,1,0,0.08,0.08,0.17,0.08,0.17,3.9,3.9,2.2,0.16,0.09,0.25,0.16,0.25,Matches
800,Alex Ferrari\Alex-Ferrari,it ITA,DF,Sampdoria,it Serie A,24,1994,6,6,540,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
801,David Ferreiro\David-Ferreiro,es ESP,FWMF,Huesca,es La Liga,30,1988,35,23,2280,1,3,0,0,5,0,0.04,0.12,0.16,0.04,0.16,2.7,2.7,4.5,0.11,0.18,0.29,0.11,0.29,Matches
802,Facundo Ferreyra\Facundo-Ferreyra,ar ARG,FWMF,Espanyol,es La Liga,27,1991,9,1,211,1,0,0,0,2,0,0.43,0,0.43,0.43,0.43,0.3,0.3,0,0.14,0,0.14,0.14,0.14,Matches
803,Jordan Ferri\Jordan-Ferri,fr FRA,MF,Lyon,fr Ligue 1,26,1992,4,1,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
804,Jordan Ferri\Jordan-Ferri,fr FRA,MF,Nîmes,fr Ligue 1,26,1992,24,21,1874,2,1,0,0,5,0,0.1,0.05,0.14,0.1,0.14,1.1,1.1,2.2,0.05,0.11,0.16,0.05,0.16,Matches
805,Oliver Fink\Oliver-Fink,de GER,MF,Düsseldorf,de Bundesliga,36,1982,18,13,1055,3,0,0,0,4,0,0.26,0,0.26,0.26,0.26,0.9,0.9,0.8,0.07,0.07,0.14,0.07,0.14,Matches
806,Alfreð Finnbogason\Alfred-Finnbogason,is ISL,FW,Augsburg,de Bundesliga,29,1989,18,17,1335,10,1,4,4,2,0,0.67,0.07,0.74,0.4,0.47,10.5,7.5,1.1,0.71,0.07,0.78,0.5,0.58,Matches
807,Roberto Firmino\Roberto-Firmino,br BRA,FWMF,Liverpool,eng Premier League,26,1991,34,31,2607,12,6,1,1,0,0,0.41,0.21,0.62,0.38,0.59,13.3,12.5,5.6,0.46,0.19,0.65,0.43,0.63,Matches
808,Junior Firpo\Junior-Firpo,es ESP,DFMF,Betis,es La Liga,21,1996,24,22,1937,3,4,0,0,7,0,0.14,0.19,0.33,0.14,0.33,2.1,2.1,2.2,0.1,0.1,0.2,0.1,0.2,Matches
809,Mathieu Flamini\Mathieu-Flamini,fr FRA,MF,Getafe,es La Liga,34,1984,10,4,453,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches
810,Mark Flekken\Mark-Flekken,nl NED,GK,Freiburg,de Bundesliga,25,1993,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
811,Sergio Floccari\Sergio-Floccari,it ITA,FW,SPAL,it Serie A,36,1981,20,11,976,3,1,0,0,3,0,0.28,0.09,0.37,0.28,0.37,2.5,2.5,0.2,0.23,0.02,0.25,0.23,0.25,Matches
812,Alessandro Florenzi\Alessandro-Florenzi,it ITA,DFFW,Roma,it Serie A,27,1991,29,24,2180,3,2,0,0,5,1,0.12,0.08,0.21,0.12,0.21,2.1,2.1,3.5,0.09,0.15,0.23,0.09,0.23,Matches
813,Phil Foden\Phil-Foden,eng ENG,MF,Manchester City,eng Premier League,18,2000,13,3,335,1,0,0,0,0,0,0.27,0,0.27,0.27,0.27,2.5,2.5,0.6,0.67,0.16,0.83,0.67,0.83,Matches
814,Guessouma Fofana\Guessouma-Fofana,fr FRA,MF,Guingamp,fr Ligue 1,25,1992,10,4,479,0,0,0,0,2,0,0,0,0,0,0,0.5,0.5,0,0.09,0,0.09,0.09,0.09,Matches
815,Guessouma Fofana\Guessouma-Fofana,fr FRA,MF,Amiens,fr Ligue 1,25,1992,3,2,186,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
816,Seko Fofana\Seko-Fofana,ci CIV,MF,Udinese,it Serie A,23,1995,31,31,2639,2,4,0,0,5,0,0.07,0.14,0.2,0.07,0.2,3.1,3.1,4,0.11,0.14,0.24,0.11,0.24,Matches
817,Wesley Fofana\Wesley-Fofana,fr FRA,DF,Saint-Étienne,fr Ligue 1,17,2000,2,1,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
818,Youssouf Fofana\Youssouf-Fofana,fr FRA,MF,Strasbourg,fr Ligue 1,19,1999,17,10,912,2,1,0,0,0,0,0.2,0.1,0.3,0.2,0.3,0.8,0.8,0.4,0.08,0.04,0.12,0.08,0.12,Matches
819,Thomas Foket\Thomas-Foket,be BEL,DF,Reims,fr Ligue 1,23,1994,32,32,2880,0,0,0,0,7,0,0,0,0,0,0,0.1,0.1,1,0,0.03,0.03,0,0.03,Matches
820,Thomas Fontaine\Thomas-Fontaine,mg MAD,DFMF,Reims,fr Ligue 1,27,1991,7,4,420,0,1,0,0,1,0,0,0.21,0.21,0,0.21,0,0,0.4,0.01,0.09,0.1,0.01,0.1,Matches
821,José Fonte\Jose-Fonte,pt POR,DF,Lille,fr Ligue 1,34,1983,36,36,3110,3,1,0,0,5,1,0.09,0.03,0.12,0.09,0.12,2.8,2.8,0.4,0.08,0.01,0.09,0.08,0.09,Matches
822,Rui Fonte\Rui-Fonte,pt POR,FW,Lille,fr Ligue 1,28,1990,18,5,627,1,0,0,0,1,0,0.14,0,0.14,0.14,0.14,0.6,0.6,0.2,0.09,0.03,0.12,0.09,0.12,Matches
823,Pablo Fornals\Pablo-Fornals,es ESP,MFFW,Villarreal,es La Liga,22,1996,35,28,2479,2,3,0,0,4,0,0.07,0.11,0.18,0.07,0.18,4.3,4.3,4.8,0.16,0.17,0.33,0.16,0.33,Matches
824,Emil Forsberg\Emil-Forsberg,se SWE,MFFW,RB Leipzig,de Bundesliga,26,1991,20,14,1249,4,7,3,3,0,0,0.29,0.5,0.79,0.07,0.58,4.5,2.2,4.7,0.32,0.34,0.66,0.16,0.49,Matches
825,Fraser Forster\Fraser-Forster,eng ENG,GK,Southampton,eng Premier League,30,1988,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
826,Steven Fortes\Steven-Fortes,cv CPV,DF,Toulouse,fr Ligue 1,26,1992,3,1,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
827,Iver Fossum\Iver-Fossum,no NOR,MFFW,Hannover 96,de Bundesliga,22,1996,9,5,455,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.7,0.04,0.14,0.18,0.04,0.18,Matches
828,Ben Foster\Ben-Foster,eng ENG,GK,Watford,eng Premier League,35,1983,38,38,3420,0,0,0,0,1,0,0,0,0,0,0,0,0,0.3,0,0.01,0.01,0,0.01,Matches
829,Timothy Fosu-Mensah\Timothy-Fosu-Mensah,nl NED,DF,Fulham,eng Premier League,20,1998,12,10,793,0,0,0,0,3,0,0,0,0,0,0,0.1,0.1,0.4,0.01,0.04,0.05,0.01,0.05,Matches
830,Dimitri Foulquier\Dimitri-Foulquier,fr FRA,MFFW,Getafe,es La Liga,25,1993,25,23,1799,3,2,0,0,7,0,0.15,0.1,0.25,0.15,0.25,1.1,1.1,1.7,0.06,0.09,0.14,0.06,0.14,Matches
831,Juan Foyth\Juan-Foyth,ar ARG,DF,Tottenham,eng Premier League,20,1998,12,10,888,1,0,0,0,3,1,0.1,0,0.1,0.1,0.1,0.7,0.7,0.3,0.08,0.03,0.11,0.08,0.11,Matches
832,Raphael Framberger\Raphael-Framberger,de GER,DFMF,Augsburg,de Bundesliga,22,1995,7,6,548,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0.17,0.17,0,0.17,Matches
833,Simon Francis\Simon-Francis,eng ENG,DF,Bournemouth,eng Premier League,33,1985,17,13,1229,0,2,0,0,1,0,0,0.15,0.15,0,0.15,0.1,0.1,1,0.01,0.07,0.08,0.01,0.08,Matches
834,Mike Frantz\Mike-Frantz,de GER,MFFW,Freiburg,de Bundesliga,31,1986,31,29,2216,2,1,0,0,2,0,0.08,0.04,0.12,0.08,0.12,1.9,1.9,1.1,0.08,0.05,0.12,0.08,0.12,Matches
835,Ryan Fraser\Ryan-Fraser,sco SCO,MFFW,Bournemouth,eng Premier League,24,1994,38,35,3166,7,14,0,0,2,0,0.2,0.4,0.6,0.2,0.6,4.5,4.5,11.8,0.13,0.34,0.46,0.13,0.46,Matches
836,Pierluigi Frattali\Pierluigi-Frattali,it ITA,GK,Parma,it Serie A,32,1985,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
837,Fred\Fred,br BRA,MF,Manchester Utd,eng Premier League,25,1993,17,13,1041,1,1,0,0,2,0,0.09,0.09,0.17,0.09,0.17,0.8,0.8,0.9,0.07,0.08,0.15,0.07,0.15,Matches
838,Ryan Fredericks\Ryan-Fredericks,eng ENG,DF,West Ham,eng Premier League,25,1992,15,12,1086,1,0,0,0,5,0,0.08,0,0.08,0.08,0.08,0.5,0.5,0.2,0.04,0.02,0.06,0.04,0.06,Matches
839,Remo Freuler\Remo-Freuler,ch SUI,MF,Atalanta,it Serie A,26,1992,35,35,3022,2,6,0,0,4,0,0.06,0.18,0.24,0.06,0.24,3,3,3.5,0.09,0.1,0.19,0.09,0.19,Matches
840,Nicolas Frey\Nicolas-Frey,fr FRA,DF,Chievo,it Serie A,34,1984,5,3,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches
841,Marco Friedl\Marco-Friedl,at AUT,DF,Werder Bremen,de Bundesliga,20,1998,7,5,474,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
842,Alexander Fuchs\Alexander-Fuchs,de GER,MF,Nürnberg,de Bundesliga,21,1997,9,8,655,1,0,0,0,3,0,0.14,0,0.14,0.14,0.14,0.7,0.7,0.7,0.09,0.09,0.19,0.09,0.19,Matches
843,Christian Fuchs\Christian-Fuchs,at AUT,DF,Leicester City,eng Premier League,32,1986,3,2,207,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.02,0.13,0.15,0.02,0.15,Matches
844,Javi Fuego\Javi-Fuego,es ESP,MF,Villarreal,es La Liga,34,1984,5,3,233,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
845,Angelo Fulgini\Angelo-Fulgini,fr FRA,MFFW,Angers,fr Ligue 1,21,1996,31,18,1635,4,1,0,0,1,0,0.22,0.06,0.28,0.22,0.28,3.2,3.2,2.9,0.18,0.16,0.34,0.18,0.34,Matches
846,Niclas Füllkrug\Niclas-Fullkrug,de GER,FW,Hannover 96,de Bundesliga,25,1993,14,13,1112,2,1,1,1,1,0,0.16,0.08,0.24,0.08,0.16,3.7,2.9,1,0.3,0.08,0.38,0.24,0.32,Matches
847,Ramiro Funes Mori\Ramiro-Funes-Mori,ar ARG,DFMF,Villarreal,es La Liga,27,1991,31,29,2627,2,1,0,0,15,0,0.07,0.03,0.1,0.07,0.1,2.1,2.1,0.5,0.07,0.02,0.09,0.07,0.09,Matches
848,Manolo Gabbiadini\Manolo-Gabbiadini,it ITA,FWMF,Southampton,eng Premier League,26,1991,12,4,476,1,0,0,0,0,0,0.19,0,0.19,0.19,0.19,1.9,1.9,0.2,0.37,0.04,0.4,0.37,0.4,Matches
849,Manolo Gabbiadini\Manolo-Gabbiadini,it ITA,FW,Sampdoria,it Serie A,26,1991,18,8,812,4,2,0,0,5,0,0.44,0.22,0.67,0.44,0.67,2.1,2.1,1.4,0.23,0.15,0.38,0.23,0.38,Matches
850,Mijat Ga?inovi?\Mijat-Gacinovic,rs SRB,MF,Eint Frankfurt,de Bundesliga,23,1995,29,16,1626,0,1,0,0,3,0,0,0.06,0.06,0,0.06,1.7,1.7,2,0.1,0.11,0.2,0.1,0.2,Matches
851,Gianluca Gaetano\Gianluca-Gaetano,it ITA,FW,Napoli,it Serie A,18,2000,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.31,1.77,2.08,0.31,2.08,Matches
852,Roberto Gagliardini\Roberto-Gagliardini,it ITA,MF,Inter,it Serie A,24,1994,19,13,1087,5,0,0,0,4,0,0.41,0,0.41,0.41,0.41,2.7,2.7,1.2,0.22,0.1,0.32,0.22,0.32,Matches
853,Riccardo Gagliolo\Riccardo-Gagliolo,se SWE,DF,Parma,it Serie A,28,1990,34,34,3045,0,2,0,0,7,0,0,0.06,0.06,0,0.06,1.3,1.3,1.2,0.04,0.04,0.07,0.04,0.07,Matches
854,Milan Gaji?\Milan-Gajic,rs SRB,DF,Bordeaux,fr Ligue 1,22,1996,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
855,Javi Galán\Javi-Galan,es ESP,DFMF,Huesca,es La Liga,23,1994,16,16,1440,0,2,0,0,7,0,0,0.12,0.12,0,0.12,0.1,0.1,1.8,0,0.12,0.12,0,0.12,Matches
856,Sam Gallagher\Sam-Gallagher,eng ENG,FW,Southampton,eng Premier League,22,1995,4,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
857,Álex Gallar\Alex-Gallar,es ESP,MFFW,Huesca,es La Liga,26,1992,25,10,1009,4,1,1,1,2,0,0.36,0.09,0.45,0.27,0.36,3.5,2.7,2.5,0.31,0.22,0.53,0.24,0.46,Matches
858,Enric Gallego\Enric-Gallego,es ESP,FW,Huesca,es La Liga,31,1986,19,17,1539,5,1,0,0,4,0,0.29,0.06,0.35,0.29,0.35,3.6,3.6,1.7,0.21,0.1,0.31,0.21,0.31,Matches
859,Álex Gálvez\Alex-Galvez,es ESP,DF,Rayo Vallecano,es La Liga,29,1989,17,17,1412,1,0,0,0,6,0,0.06,0,0.06,0.06,0.06,1.1,1.1,0.2,0.07,0.01,0.08,0.07,0.08,Matches
860,Kévin Gameiro\Kevin-Gameiro,fr FRA,FW,Valencia,es La Liga,31,1987,33,16,1612,6,1,0,0,1,0,0.33,0.06,0.39,0.33,0.39,7.4,7.4,3.1,0.41,0.17,0.58,0.41,0.58,Matches
861,Idrissa Gana Gueye\Idrissa-Gana-Gueye,sn SEN,MF,Everton,eng Premier League,28,1989,33,32,2822,0,2,0,0,6,0,0,0.06,0.06,0,0.06,0.7,0.7,1,0.02,0.03,0.06,0.02,0.06,Matches
862,Ignatius Ganago\Ignatius-Ganago,cm CMR,FW,Nice,fr Ligue 1,19,1999,20,9,1036,2,0,0,0,1,0,0.17,0,0.17,0.17,0.17,4,4,1.1,0.34,0.1,0.44,0.34,0.44,Matches
863,Cristian Ganea\Cristian-Ganea,ro ROU,MF,Athletic Club,es La Liga,26,1992,1,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
864,Ganso\Ganso,br BRA,MFFW,Amiens,fr Ligue 1,28,1989,12,5,520,0,2,0,0,0,0,0,0.35,0.35,0,0.35,0.1,0.1,1.2,0.02,0.21,0.23,0.02,0.23,Matches
865,Ezequiel Garay\Ezequiel-Garay,ar ARG,DF,Valencia,es La Liga,31,1986,24,24,2136,2,0,0,0,4,0,0.08,0,0.08,0.08,0.08,1.5,1.5,0.4,0.06,0.02,0.08,0.06,0.08,Matches
866,Borja Garcés\Borja-Garces,es ESP,FWMF,Atlético Madrid,es La Liga,18,1999,1,0,20,1,0,0,0,0,0,4.5,0,4.5,4.5,4.5,0.2,0.2,0,1.09,0,1.09,1.09,1.09,Matches
867,Alberto García\Alberto-Garcia,es ESP,GK,Rayo Vallecano,es La Liga,33,1985,17,17,1530,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
