Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
27,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Monaco,fr Ligue 1,24,1994,17,12,1075,0,1,0,0,2,0,0,0.08,0.08,0,0.08,0.6,0.6,0.2,0.05,0.01,0.07,0.05,0.07,Matches
28,Antonis Aidonis\Antonis-Aidonis,de GER,DF,Stuttgart,de Bundesliga,17,2001,2,1,80,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
29,Ola Aina\Ola-Aina,ng NGA,DFMF,Torino,it Serie A,21,1996,30,22,2160,1,3,0,0,5,1,0.04,0.12,0.17,0.04,0.17,1.9,1.9,2.1,0.08,0.09,0.17,0.08,0.17,Matches
30,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,Saint-Étienne,fr Ligue 1,22,1996,13,11,936,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.02,0.04,0.06,0.02,0.06,Matches
31,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,Monaco,fr Ligue 1,22,1996,13,12,1073,0,2,0,0,2,0,0,0.17,0.17,0,0.17,0.4,0.4,1,0.03,0.08,0.11,0.03,0.11,Matches
32,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Angers,fr Ligue 1,17,2001,3,0,57,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
33,Ludovic Ajorque\Ludovic-Ajorque,re REU,FW,Strasbourg,fr Ligue 1,24,1994,25,18,1531,9,1,0,0,5,0,0.53,0.06,0.59,0.53,0.59,5.8,5.8,1,0.34,0.06,0.4,0.34,0.4,Matches
34,Manuel Akanji\Manuel-Akanji,ch SUI,DF,Dortmund,de Bundesliga,23,1995,25,25,2205,1,0,0,0,1,0,0.04,0,0.04,0.04,0.04,0.8,0.8,0.4,0.03,0.01,0.05,0.03,0.05,Matches
35,Carlos Akapo\Carlos-Akapo,gq EQG,DF,Huesca,es La Liga,25,1993,13,12,1023,0,0,0,0,2,0,0,0,0,0,0,0.3,0.3,0.3,0.03,0.03,0.06,0.03,0.06,Matches
36,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,eng Premier League,23,1995,38,38,3411,4,0,0,0,3,0,0.11,0,0.11,0.11,0.11,3.4,3.4,0.8,0.09,0.02,0.11,0.09,0.11,Matches
