Rk,Squad,Country,LgRk,MP,W,D,L,GF,GA,GDiff,Pts,Pts/G,xG,xGA,xGDiff,xGDiff/90,Attendance,Top Team Scorer,Goalkeeper
87,Dijon,fr FRA,18,38,9,7,22,31,60,-29,34,0.89,39.6,60.9,-21.3,-0.56,13044,Júlio Tavares - 5,Rúnar Alex Rúnarsson
88,Huesca,es ESP,19,38,7,12,19,43,65,-22,33,0.87,45.9,57,-11.1,-0.29,6605,Ezequiel Ávila - 10,Roberto Santamaría
89,Caen,fr FRA,19,38,7,12,19,29,54,-25,33,0.87,31.1,57.5,-26.4,-0.69,16654,Casimir Ninga Enzo Crivelli - 6,Brice Samba
90,Rayo Vallecano,es ESP,20,38,8,8,22,41,70,-29,32,0.84,40.9,54.4,-13.5,-0.36,11928,Raúl de Tomás - 14,Stole Dimitrievski
91,Stuttgart,de GER,16,34,7,7,20,32,70,-38,28,0.82,38.9,57.5,-18.6,-0.55,54577,Mario Gómez - 7,Ron-Robert Zieler
92,Guingamp,fr FRA,20,38,5,12,21,28,68,-40,27,0.71,39.7,50.1,-10.4,-0.27,14731,Marcus Thuram - 9,Marc-Aurèle Caillard
93,Fulham,eng ENG,19,38,7,5,26,34,81,-47,26,0.68,39.7,65.2,-25.5,-0.67,24371,Aleksandar Mitrovi? - 11,Sergio Rico
94,Frosinone,it ITA,19,38,5,10,23,29,69,-40,25,0.66,35.6,60.9,-25.3,-0.66,12656,Camillo Ciano - 7,Marco Sportiello
95,Hannover 96,de GER,17,34,5,6,23,31,71,-40,21,0.62,33.8,66.2,-32.4,-0.95,38365,Hendrik Weydandt - 6,Michael Esser
96,Nürnberg,de GER,18,34,3,10,21,26,68,-42,19,0.56,33.2,55.6,-22.4,-0.66,40372,Mikael Ishak Hanno Behrens - 4,Christian Mathenia
97,Chievo,it ITA,20,38,2,14,22,25,75,-50,17,0.45,35.9,59.4,-23.5,-0.62,12142,Mariusz St?pi?ski - 6,Stefano Sorrentino
98,Huddersfield,eng ENG,20,38,3,7,28,22,76,-54,16,0.42,28.9,63.3,-34.5,-0.91,23203,Aaron Mooy Mathias Jørgensen... - 3,Jonas Lössl
